Datum Zeit,Collmberg PM2.5
,µg/m³
31-07-10,5.12
30-07-10,5.28
29-07-10,5.64
28-07-10,7.56
27-07-10,9.05
26-07-10,6.66
25-07-10,3.38
24-07-10,4.07
23-07-10,3.09
22-07-10,14.36
21-07-10,11.69
20-07-10,10.05
19-07-10,6.66
18-07-10,4.64
17-07-10,8.60
16-07-10,12.26
15-07-10,6.67
14-07-10,12.06
13-07-10,8.82
12-07-10,10.47
11-07-10,11.31
10-07-10,13.02
09-07-10,12.06
08-07-10,10.45
07-07-10,6.41
06-07-10,4.91
05-07-10,10.16
04-07-10,17.06
03-07-10,12.97
02-07-10,12.72
01-07-10,10.34

