Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-10,10.60
30-07-10,9.41
29-07-10,8.90
28-07-10,11.23
27-07-10,15.14
26-07-10,11.64
25-07-10,5.09
24-07-10,7.35
23-07-10,7.39
22-07-10,18.60
21-07-10,16.03
20-07-10,12.15
19-07-10,9.28
18-07-10,6.20
17-07-10,10.41
16-07-10,16.94
15-07-10,11.74
14-07-10,13.92
13-07-10,12.19
12-07-10,16.84
11-07-10,12.10
10-07-10,18.32
09-07-10,17.14
08-07-10,15.19
07-07-10,12.60
06-07-10,9.07
05-07-10,14.78
04-07-10,20.17
03-07-10,16.79
02-07-10,18.12
01-07-10,18.06

