Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-10,8.09
30-07-10,5.09
29-07-10,5.37
28-07-10,8.19
27-07-10,8.86
26-07-10,6.84
25-07-10,4.14
24-07-10,6.00
23-07-10,7.56
22-07-10,15.97
21-07-10,12.00
20-07-10,10.28
19-07-10,9.04
18-07-10,5.11
17-07-10,8.64
16-07-10,12.05
15-07-10,8.67
14-07-10,12.04
13-07-10,
12-07-10,17.60
11-07-10,16.05
10-07-10,15.55
09-07-10,12.47
08-07-10,10.82
07-07-10,7.88
06-07-10,6.22
05-07-10,11.82
04-07-10,16.37
03-07-10,13.63
02-07-10,14.87
01-07-10,12.98

