Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-07-10,12.14
30-07-10,30.98
29-07-10,18.25
28-07-10,54.05
27-07-10,46.59
26-07-10,42.42
25-07-10,6.17
24-07-10,10.80
23-07-10,11.12
22-07-10,25.24
21-07-10,25.95
20-07-10,19.75
19-07-10,24.70
18-07-10,8.11
17-07-10,15.81
16-07-10,23.74
15-07-10,20.21
14-07-10,35.80
13-07-10,16.10
12-07-10,26.76
11-07-10,19.30
10-07-10,21.03
09-07-10,18.41
08-07-10,16.12
07-07-10,13.75
06-07-10,9.37
05-07-10,15.71
04-07-10,17.75
03-07-10,16.96
02-07-10,18.01
01-07-10,20.68

