Datum Zeit,Glauchau NO2
,µg/m³
01-06-00 00:00,38
31-05-00 23:00,47
31-05-00 22:00,46
31-05-00 21:00,45
31-05-00 20:00,28
31-05-00 19:00,15
31-05-00 18:00,
31-05-00 17:00,25
31-05-00 16:00,19
31-05-00 15:00,39
31-05-00 14:00,30
31-05-00 13:00,30
31-05-00 12:00,25
31-05-00 11:00,26
31-05-00 10:00,23
31-05-00 09:00,35
31-05-00 08:00,33
31-05-00 07:00,36
31-05-00 06:00,41
31-05-00 05:00,36
31-05-00 04:00,35
31-05-00 03:00,27
31-05-00 02:00,18
31-05-00 01:00,19
31-05-00 00:00,20
30-05-00 23:00,21
30-05-00 22:00,19
30-05-00 21:00,21
30-05-00 20:00,20
30-05-00 19:00,18
30-05-00 18:00,
30-05-00 17:00,20
30-05-00 16:00,24
30-05-00 15:00,23
30-05-00 14:00,21
30-05-00 13:00,25
30-05-00 12:00,21
30-05-00 11:00,22
30-05-00 10:00,18
30-05-00 09:00,25
30-05-00 08:00,23
30-05-00 07:00,33
30-05-00 06:00,32
30-05-00 05:00,25
30-05-00 04:00,15
30-05-00 03:00,10
30-05-00 02:00,10
30-05-00 01:00,12
30-05-00 00:00,10
29-05-00 23:00,10
29-05-00 22:00,19
29-05-00 21:00,19
29-05-00 20:00,14
29-05-00 19:00,
29-05-00 18:00,19
29-05-00 17:00,18
29-05-00 16:00,21
29-05-00 15:00,22
29-05-00 14:00,22
29-05-00 13:00,22
29-05-00 12:00,16
29-05-00 11:00,18
29-05-00 10:00,17
29-05-00 09:00,20
29-05-00 08:00,19
29-05-00 07:00,31
29-05-00 06:00,34
29-05-00 05:00,25
29-05-00 04:00,16
29-05-00 03:00,9
29-05-00 02:00,8
29-05-00 01:00,10
29-05-00 00:00,8
28-05-00 23:00,11
28-05-00 22:00,12
28-05-00 21:00,8
28-05-00 20:00,9
28-05-00 19:00,
28-05-00 18:00,8
28-05-00 17:00,8
28-05-00 16:00,7
28-05-00 15:00,7
28-05-00 14:00,6
28-05-00 13:00,6
28-05-00 12:00,6
28-05-00 11:00,7
28-05-00 10:00,6
28-05-00 09:00,5
28-05-00 08:00,8
28-05-00 07:00,15
28-05-00 06:00,12
28-05-00 05:00,15
28-05-00 04:00,15
28-05-00 03:00,14
28-05-00 02:00,10
28-05-00 01:00,10
28-05-00 00:00,12
27-05-00 23:00,13
27-05-00 22:00,16
27-05-00 21:00,13
27-05-00 20:00,
27-05-00 19:00,11
27-05-00 18:00,11
27-05-00 17:00,9
27-05-00 16:00,10
27-05-00 15:00,10
27-05-00 14:00,10
27-05-00 13:00,12
27-05-00 12:00,14
27-05-00 11:00,13
27-05-00 10:00,21
27-05-00 09:00,18
27-05-00 08:00,15
27-05-00 07:00,22
27-05-00 06:00,56
27-05-00 05:00,48
27-05-00 04:00,50
27-05-00 03:00,52
27-05-00 02:00,54
27-05-00 01:00,60
27-05-00 00:00,41
26-05-00 23:00,37
26-05-00 22:00,42
26-05-00 21:00,28
26-05-00 20:00,
26-05-00 19:00,24
26-05-00 18:00,16
26-05-00 17:00,17
26-05-00 16:00,17
26-05-00 15:00,19
26-05-00 14:00,17
26-05-00 13:00,22
26-05-00 12:00,19
26-05-00 11:00,19
26-05-00 10:00,20
26-05-00 09:00,26
26-05-00 08:00,33
26-05-00 07:00,45
26-05-00 06:00,48
26-05-00 05:00,46
26-05-00 04:00,37
26-05-00 03:00,28
26-05-00 02:00,14
26-05-00 01:00,15
26-05-00 00:00,13
25-05-00 23:00,14
25-05-00 22:00,21
25-05-00 21:00,
25-05-00 20:00,14
25-05-00 19:00,14
25-05-00 18:00,19
25-05-00 17:00,18
25-05-00 16:00,18
25-05-00 15:00,28
25-05-00 14:00,33
25-05-00 13:00,28
25-05-00 12:00,34
25-05-00 11:00,26
25-05-00 10:00,32
25-05-00 09:00,44
25-05-00 08:00,64
25-05-00 07:00,63
25-05-00 06:00,49
25-05-00 05:00,30
25-05-00 04:00,24
25-05-00 03:00,32
25-05-00 02:00,22
25-05-00 01:00,34
25-05-00 00:00,23
24-05-00 23:00,22
24-05-00 22:00,22
24-05-00 21:00,
24-05-00 20:00,38
24-05-00 19:00,53
24-05-00 18:00,42
24-05-00 17:00,37
24-05-00 16:00,27
24-05-00 15:00,28
24-05-00 14:00,32
24-05-00 13:00,31
24-05-00 12:00,32
24-05-00 11:00,25
24-05-00 10:00,27
24-05-00 09:00,34
24-05-00 08:00,43
24-05-00 07:00,51
24-05-00 06:00,40
24-05-00 05:00,29
24-05-00 04:00,23
24-05-00 03:00,20
24-05-00 02:00,21
24-05-00 01:00,21
24-05-00 00:00,26
23-05-00 23:00,28
23-05-00 22:00,
23-05-00 21:00,41
23-05-00 20:00,28
23-05-00 19:00,30
23-05-00 18:00,25
23-05-00 17:00,26
23-05-00 16:00,27
23-05-00 15:00,29
23-05-00 14:00,23
23-05-00 13:00,25
23-05-00 12:00,20
23-05-00 11:00,17
23-05-00 10:00,19
23-05-00 09:00,24
23-05-00 08:00,32
23-05-00 07:00,35
23-05-00 06:00,36
23-05-00 05:00,26
23-05-00 04:00,17
23-05-00 03:00,12
23-05-00 02:00,12
23-05-00 01:00,14
23-05-00 00:00,15
22-05-00 23:00,18
22-05-00 22:00,
22-05-00 21:00,33
22-05-00 20:00,23
22-05-00 19:00,35
22-05-00 18:00,28
22-05-00 17:00,32
22-05-00 16:00,37
22-05-00 15:00,24
22-05-00 14:00,27
22-05-00 13:00,31
22-05-00 12:00,36
22-05-00 11:00,35
22-05-00 10:00,37
22-05-00 09:00,38
22-05-00 08:00,35
22-05-00 07:00,40
22-05-00 06:00,37
22-05-00 05:00,23
22-05-00 04:00,10
22-05-00 03:00,10
22-05-00 02:00,12
22-05-00 01:00,15
22-05-00 00:00,11
21-05-00 23:00,
21-05-00 22:00,23
21-05-00 21:00,20
21-05-00 20:00,18
21-05-00 19:00,16
21-05-00 18:00,7
21-05-00 17:00,7
21-05-00 16:00,6
21-05-00 15:00,6
21-05-00 14:00,6
21-05-00 13:00,5
21-05-00 12:00,5
21-05-00 11:00,6
21-05-00 10:00,5
21-05-00 09:00,6
21-05-00 08:00,7
21-05-00 07:00,7
21-05-00 06:00,9
21-05-00 05:00,9
21-05-00 04:00,8
21-05-00 03:00,8
21-05-00 02:00,8
21-05-00 01:00,11
21-05-00 00:00,12
20-05-00 23:00,
20-05-00 22:00,18
20-05-00 21:00,15
20-05-00 20:00,18
20-05-00 19:00,14
20-05-00 18:00,10
20-05-00 17:00,17
20-05-00 16:00,11
20-05-00 15:00,12
20-05-00 14:00,13
20-05-00 13:00,11
20-05-00 12:00,13
20-05-00 11:00,12
20-05-00 10:00,13
20-05-00 09:00,15
20-05-00 08:00,13
20-05-00 07:00,10
20-05-00 06:00,10
20-05-00 05:00,11
20-05-00 04:00,12
20-05-00 03:00,13
20-05-00 02:00,18
20-05-00 01:00,15
20-05-00 00:00,16
19-05-00 23:00,
19-05-00 22:00,14
19-05-00 21:00,15
19-05-00 20:00,18
19-05-00 19:00,15
19-05-00 18:00,14
19-05-00 17:00,15
19-05-00 16:00,16
19-05-00 15:00,22
19-05-00 14:00,22
19-05-00 13:00,23
19-05-00 12:00,26
19-05-00 11:00,24
19-05-00 10:00,25
19-05-00 09:00,32
19-05-00 08:00,33
19-05-00 07:00,46
19-05-00 06:00,40
19-05-00 05:00,27
19-05-00 04:00,19
19-05-00 03:00,15
19-05-00 02:00,15
19-05-00 01:00,15
19-05-00 00:00,
18-05-00 23:00,37
18-05-00 22:00,24
18-05-00 21:00,26
18-05-00 20:00,26
18-05-00 19:00,24
18-05-00 18:00,29
18-05-00 17:00,28
18-05-00 16:00,26
18-05-00 15:00,27
18-05-00 14:00,27
18-05-00 13:00,22
18-05-00 12:00,22
18-05-00 11:00,28
18-05-00 10:00,20
18-05-00 09:00,29
18-05-00 08:00,27
18-05-00 07:00,40
18-05-00 06:00,40
18-05-00 05:00,26
18-05-00 04:00,21
18-05-00 03:00,25
18-05-00 02:00,16
18-05-00 01:00,25
18-05-00 00:00,
17-05-00 23:00,29
17-05-00 22:00,31
17-05-00 21:00,34
17-05-00 20:00,26
17-05-00 19:00,25
17-05-00 18:00,23
17-05-00 17:00,25
17-05-00 16:00,27
17-05-00 15:00,34
17-05-00 14:00,31
17-05-00 13:00,24
17-05-00 12:00,21
17-05-00 11:00,24
17-05-00 10:00,31
17-05-00 09:00,49
17-05-00 08:00,62
17-05-00 07:00,59
17-05-00 06:00,45
17-05-00 05:00,37
17-05-00 04:00,24
17-05-00 03:00,19
17-05-00 02:00,16
17-05-00 01:00,
17-05-00 00:00,22
16-05-00 23:00,35
16-05-00 22:00,52
16-05-00 21:00,55
16-05-00 20:00,35
16-05-00 19:00,22
16-05-00 18:00,21
16-05-00 17:00,16
16-05-00 16:00,16
16-05-00 15:00,22
16-05-00 14:00,28
16-05-00 13:00,22
16-05-00 12:00,32
16-05-00 11:00,32
16-05-00 10:00,41
16-05-00 09:00,39
16-05-00 08:00,45
16-05-00 07:00,48
16-05-00 06:00,48
16-05-00 05:00,33
16-05-00 04:00,24
16-05-00 03:00,24
16-05-00 02:00,28
16-05-00 01:00,
16-05-00 00:00,23
15-05-00 23:00,47
15-05-00 22:00,90
15-05-00 21:00,59
15-05-00 20:00,31
15-05-00 19:00,27
15-05-00 18:00,19
15-05-00 17:00,18
15-05-00 16:00,17
15-05-00 15:00,28
15-05-00 14:00,35
15-05-00 13:00,25
15-05-00 12:00,20
15-05-00 11:00,24
15-05-00 10:00,29
15-05-00 09:00,60
15-05-00 08:00,49
15-05-00 07:00,45
15-05-00 06:00,42
15-05-00 05:00,36
15-05-00 04:00,39
15-05-00 03:00,40
15-05-00 02:00,
15-05-00 01:00,39
15-05-00 00:00,42
14-05-00 23:00,48
14-05-00 22:00,45
14-05-00 21:00,26
14-05-00 20:00,16
14-05-00 19:00,10
14-05-00 18:00,7
14-05-00 17:00,7
14-05-00 16:00,7
14-05-00 15:00,8
14-05-00 14:00,7
14-05-00 13:00,10
14-05-00 12:00,9
14-05-00 11:00,11
14-05-00 10:00,14
14-05-00 09:00,15
14-05-00 08:00,18
14-05-00 07:00,18
14-05-00 06:00,20
14-05-00 05:00,23
14-05-00 04:00,26
14-05-00 03:00,31
14-05-00 02:00,
14-05-00 01:00,35
14-05-00 00:00,39
13-05-00 23:00,37
13-05-00 22:00,22
13-05-00 21:00,15
13-05-00 20:00,15
13-05-00 19:00,12
13-05-00 18:00,8
13-05-00 17:00,8
13-05-00 16:00,8
13-05-00 15:00,7
13-05-00 14:00,9
13-05-00 13:00,9
13-05-00 12:00,7
13-05-00 11:00,7
13-05-00 10:00,10
13-05-00 09:00,10
13-05-00 08:00,13
13-05-00 07:00,16
13-05-00 06:00,34
13-05-00 05:00,35
13-05-00 04:00,41
13-05-00 03:00,
13-05-00 02:00,31
13-05-00 01:00,39
13-05-00 00:00,43
12-05-00 23:00,66
12-05-00 22:00,56
12-05-00 21:00,47
12-05-00 20:00,24
12-05-00 19:00,17
12-05-00 18:00,14
12-05-00 17:00,14
12-05-00 16:00,12
12-05-00 15:00,13
12-05-00 14:00,14
12-05-00 13:00,16
12-05-00 12:00,15
12-05-00 11:00,17
12-05-00 10:00,20
12-05-00 09:00,25
12-05-00 08:00,29
12-05-00 07:00,41
12-05-00 06:00,64
12-05-00 05:00,39
12-05-00 04:00,36
12-05-00 03:00,
12-05-00 02:00,39
12-05-00 01:00,49
12-05-00 00:00,55
11-05-00 23:00,70
11-05-00 22:00,56
11-05-00 21:00,51
11-05-00 20:00,55
11-05-00 19:00,41
11-05-00 18:00,18
11-05-00 17:00,22
11-05-00 16:00,17
11-05-00 15:00,20
11-05-00 14:00,24
11-05-00 13:00,27
11-05-00 12:00,25
11-05-00 11:00,29
11-05-00 10:00,38
11-05-00 09:00,47
11-05-00 08:00,41
11-05-00 07:00,38
11-05-00 06:00,34
11-05-00 05:00,28
11-05-00 04:00,
11-05-00 03:00,30
11-05-00 02:00,30
11-05-00 01:00,47
11-05-00 00:00,56
10-05-00 23:00,62
10-05-00 22:00,43
10-05-00 21:00,32
10-05-00 20:00,61
10-05-00 19:00,30
10-05-00 18:00,15
10-05-00 17:00,15
10-05-00 16:00,20
10-05-00 15:00,14
10-05-00 14:00,20
10-05-00 13:00,22
10-05-00 12:00,26
10-05-00 11:00,29
10-05-00 10:00,42
10-05-00 09:00,39
10-05-00 08:00,32
10-05-00 07:00,31
10-05-00 06:00,25
10-05-00 05:00,24
10-05-00 04:00,
10-05-00 03:00,22
10-05-00 02:00,26
10-05-00 01:00,25
10-05-00 00:00,31
09-05-00 23:00,46
09-05-00 22:00,40
09-05-00 21:00,27
09-05-00 20:00,21
09-05-00 19:00,22
09-05-00 18:00,26
09-05-00 17:00,25
09-05-00 16:00,24
09-05-00 15:00,27
09-05-00 14:00,20
09-05-00 13:00,28
09-05-00 12:00,32
09-05-00 11:00,39
09-05-00 10:00,43
09-05-00 09:00,36
09-05-00 08:00,42
09-05-00 07:00,43
09-05-00 06:00,34
09-05-00 05:00,
09-05-00 04:00,20
09-05-00 03:00,21
09-05-00 02:00,24
09-05-00 01:00,18
09-05-00 00:00,21
08-05-00 23:00,23
08-05-00 22:00,25
08-05-00 21:00,29
08-05-00 20:00,25
