Datum Zeit,Plauen-Sued SO2
,µg/m³
01-06-00 00:00,1.0
31-05-00 23:00,1.0
31-05-00 22:00,1.0
31-05-00 21:00,1.0
31-05-00 20:00,1.9
31-05-00 19:00,1.2
31-05-00 18:00,1.2
31-05-00 17:00,3.4
31-05-00 16:00,3.8
31-05-00 15:00,4.0
31-05-00 14:00,4.1
31-05-00 13:00,3.8
31-05-00 12:00,3.1
31-05-00 11:00,3.9
31-05-00 10:00,3.4
31-05-00 09:00,2.3
31-05-00 08:00,1.4
31-05-00 07:00,
31-05-00 06:00,1.6
31-05-00 05:00,1.1
31-05-00 04:00,1.0
31-05-00 03:00,1.0
31-05-00 02:00,1.0
31-05-00 01:00,1.0
31-05-00 00:00,1.0
30-05-00 23:00,1.0
30-05-00 22:00,1.0
30-05-00 21:00,1.0
30-05-00 20:00,1.0
30-05-00 19:00,1.0
30-05-00 18:00,1.0
30-05-00 17:00,1.6
30-05-00 16:00,1.1
30-05-00 15:00,1.0
30-05-00 14:00,1.3
30-05-00 13:00,1.0
30-05-00 12:00,1.0
30-05-00 11:00,2.3
30-05-00 10:00,5.4
30-05-00 09:00,12.1
30-05-00 08:00,1.0
30-05-00 07:00,
30-05-00 06:00,1.0
30-05-00 05:00,1.0
30-05-00 04:00,1.0
30-05-00 03:00,1.0
30-05-00 02:00,1.0
30-05-00 01:00,1.0
30-05-00 00:00,1.0
29-05-00 23:00,1.0
29-05-00 22:00,1.0
29-05-00 21:00,1.0
29-05-00 20:00,1.0
29-05-00 19:00,1.0
29-05-00 18:00,1.1
29-05-00 17:00,1.3
29-05-00 16:00,1.0
29-05-00 15:00,1.0
29-05-00 14:00,1.1
29-05-00 13:00,1.3
29-05-00 12:00,1.7
29-05-00 11:00,2.2
29-05-00 10:00,1.5
29-05-00 09:00,3.9
29-05-00 08:00,
29-05-00 07:00,2.3
29-05-00 06:00,1.6
29-05-00 05:00,1.6
29-05-00 04:00,1.0
29-05-00 03:00,1.0
29-05-00 02:00,1.0
29-05-00 01:00,1.0
29-05-00 00:00,1.1
28-05-00 23:00,1.0
28-05-00 22:00,1.0
28-05-00 21:00,1.0
28-05-00 20:00,1.0
28-05-00 19:00,1.0
28-05-00 18:00,1.0
28-05-00 17:00,1.0
28-05-00 16:00,1.0
28-05-00 15:00,1.0
28-05-00 14:00,1.0
28-05-00 13:00,2.6
28-05-00 12:00,4.0
28-05-00 11:00,1.5
28-05-00 10:00,4.5
28-05-00 09:00,2.3
28-05-00 08:00,
28-05-00 07:00,3.0
28-05-00 06:00,1.2
28-05-00 05:00,1.0
28-05-00 04:00,1.0
28-05-00 03:00,1.0
28-05-00 02:00,1.0
28-05-00 01:00,1.0
28-05-00 00:00,1.2
27-05-00 23:00,1.2
27-05-00 22:00,1.5
27-05-00 21:00,1.8
27-05-00 20:00,1.7
27-05-00 19:00,1.8
27-05-00 18:00,2.6
27-05-00 17:00,1.9
27-05-00 16:00,2.3
27-05-00 15:00,2.0
27-05-00 14:00,4.3
27-05-00 13:00,2.7
27-05-00 12:00,3.0
27-05-00 11:00,1.7
27-05-00 10:00,2.2
27-05-00 09:00,
27-05-00 08:00,2.6
27-05-00 07:00,2.4
27-05-00 06:00,3.1
27-05-00 05:00,3.1
27-05-00 04:00,3.6
27-05-00 03:00,2.5
27-05-00 02:00,2.8
27-05-00 01:00,4.6
27-05-00 00:00,3.5
26-05-00 23:00,3.0
26-05-00 22:00,2.9
26-05-00 21:00,4.7
26-05-00 20:00,5.4
26-05-00 19:00,5.2
26-05-00 18:00,3.8
26-05-00 17:00,3.6
26-05-00 16:00,3.6
26-05-00 15:00,4.3
26-05-00 14:00,4.9
26-05-00 13:00,4.1
26-05-00 12:00,4.0
26-05-00 11:00,4.6
26-05-00 10:00,6.5
26-05-00 09:00,
26-05-00 08:00,4.6
26-05-00 07:00,2.9
26-05-00 06:00,3.0
26-05-00 05:00,3.4
26-05-00 04:00,2.6
26-05-00 03:00,2.1
26-05-00 02:00,2.0
26-05-00 01:00,2.0
26-05-00 00:00,3.7
25-05-00 23:00,4.2
25-05-00 22:00,4.3
25-05-00 21:00,4.4
25-05-00 20:00,5.0
25-05-00 19:00,5.3
25-05-00 18:00,5.5
25-05-00 17:00,6.1
25-05-00 16:00,6.2
25-05-00 15:00,5.6
25-05-00 14:00,7.4
25-05-00 13:00,10.3
25-05-00 12:00,9.7
25-05-00 11:00,6.4
25-05-00 10:00,7.5
25-05-00 09:00,
25-05-00 08:00,10.1
25-05-00 07:00,
25-05-00 06:00,
25-05-00 05:00,4.6
25-05-00 04:00,3.3
25-05-00 03:00,3.9
25-05-00 02:00,4.0
25-05-00 01:00,2.6
25-05-00 00:00,1.0
24-05-00 23:00,1.0
24-05-00 22:00,1.0
24-05-00 21:00,1.0
24-05-00 20:00,1.9
24-05-00 19:00,1.0
24-05-00 18:00,1.1
24-05-00 17:00,1.4
24-05-00 16:00,1.0
24-05-00 15:00,1.2
24-05-00 14:00,1.0
24-05-00 13:00,3.9
24-05-00 12:00,1.2
24-05-00 11:00,1.7
24-05-00 10:00,2.5
24-05-00 09:00,5.3
24-05-00 08:00,3.7
24-05-00 07:00,1.0
24-05-00 06:00,
24-05-00 05:00,1.0
24-05-00 04:00,1.0
24-05-00 03:00,1.0
24-05-00 02:00,1.0
24-05-00 01:00,1.0
24-05-00 00:00,1.1
23-05-00 23:00,1.6
23-05-00 22:00,1.2
23-05-00 21:00,1.9
23-05-00 20:00,2.7
23-05-00 19:00,3.1
23-05-00 18:00,2.5
23-05-00 17:00,2.7
23-05-00 16:00,2.9
23-05-00 15:00,2.8
23-05-00 14:00,3.3
23-05-00 13:00,3.4
23-05-00 12:00,2.6
23-05-00 11:00,3.3
23-05-00 10:00,3.7
23-05-00 09:00,3.6
23-05-00 08:00,3.7
23-05-00 07:00,
23-05-00 06:00,2.6
23-05-00 05:00,2.3
23-05-00 04:00,1.5
23-05-00 03:00,1.6
23-05-00 02:00,1.3
23-05-00 01:00,1.0
23-05-00 00:00,1.0
22-05-00 23:00,1.0
22-05-00 22:00,1.2
22-05-00 21:00,1.3
22-05-00 20:00,1.2
22-05-00 19:00,1.7
22-05-00 18:00,1.0
22-05-00 17:00,1.7
22-05-00 16:00,2.0
22-05-00 15:00,3.1
22-05-00 14:00,1.4
22-05-00 13:00,
22-05-00 12:00,
22-05-00 11:00,
22-05-00 10:00,
22-05-00 09:00,1.5
22-05-00 08:00,1.5
22-05-00 07:00,1.7
22-05-00 06:00,1.7
22-05-00 05:00,
22-05-00 04:00,1.2
22-05-00 03:00,1.0
22-05-00 02:00,1.0
22-05-00 01:00,1.0
22-05-00 00:00,1.0
21-05-00 23:00,1.0
21-05-00 22:00,1.0
21-05-00 21:00,1.0
21-05-00 20:00,1.0
21-05-00 19:00,1.0
21-05-00 18:00,1.0
21-05-00 17:00,1.0
21-05-00 16:00,1.0
21-05-00 15:00,1.0
21-05-00 14:00,1.0
21-05-00 13:00,1.0
21-05-00 12:00,1.0
21-05-00 11:00,1.0
21-05-00 10:00,1.0
21-05-00 09:00,1.0
21-05-00 08:00,1.0
21-05-00 07:00,1.0
21-05-00 06:00,1.0
21-05-00 05:00,
21-05-00 04:00,1.0
21-05-00 03:00,1.0
21-05-00 02:00,1.0
21-05-00 01:00,1.0
21-05-00 00:00,1.0
20-05-00 23:00,1.0
20-05-00 22:00,1.0
20-05-00 21:00,1.0
20-05-00 20:00,1.0
20-05-00 19:00,1.0
20-05-00 18:00,1.0
20-05-00 17:00,1.0
20-05-00 16:00,1.0
20-05-00 15:00,1.0
20-05-00 14:00,1.0
20-05-00 13:00,1.0
20-05-00 12:00,1.0
20-05-00 11:00,1.0
20-05-00 10:00,1.0
20-05-00 09:00,1.0
20-05-00 08:00,1.0
20-05-00 07:00,1.0
20-05-00 06:00,
20-05-00 05:00,1.0
20-05-00 04:00,1.0
20-05-00 03:00,1.0
20-05-00 02:00,1.0
20-05-00 01:00,1.0
