Datum Zeit,Leipzig-West CO
,mg/m3
22-05-00 13:00,0.1
22-05-00 12:00,0.1
22-05-00 11:00,0.2
22-05-00 10:00,0.2
22-05-00 09:00,0.1
22-05-00 08:00,0.1
22-05-00 07:00,0.2
22-05-00 06:00,0.3
22-05-00 05:00,0.1
22-05-00 04:00,0.1
22-05-00 03:00,0.1
22-05-00 02:00,0.1
22-05-00 01:00,0.1
22-05-00 00:00,0.1
21-05-00 23:00,0.1
21-05-00 22:00,0.1
21-05-00 21:00,0.1
21-05-00 20:00,0.1
21-05-00 19:00,0.1
21-05-00 18:00,0.1
21-05-00 17:00,0.1
21-05-00 16:00,0.1
21-05-00 15:00,0.1
21-05-00 14:00,0.1
21-05-00 13:00,0.1
21-05-00 12:00,0.1
21-05-00 11:00,0.1
21-05-00 10:00,0.1
21-05-00 09:00,
21-05-00 08:00,0.1
21-05-00 07:00,0.1
21-05-00 06:00,0.1
21-05-00 05:00,0.1
21-05-00 04:00,0.1
21-05-00 03:00,0.1
21-05-00 02:00,0.1
21-05-00 01:00,0.1
21-05-00 00:00,0.1
20-05-00 23:00,0.1
20-05-00 22:00,0.1
20-05-00 21:00,0.1
20-05-00 20:00,0.1
20-05-00 19:00,0.1
20-05-00 18:00,0.1
20-05-00 17:00,0.1
20-05-00 16:00,0.1
20-05-00 15:00,0.1
20-05-00 14:00,0.1
20-05-00 13:00,0.1
20-05-00 12:00,0.1
20-05-00 11:00,0.1
20-05-00 10:00,0.1
20-05-00 09:00,0.1
20-05-00 08:00,0.1
20-05-00 07:00,0.1
20-05-00 06:00,0.1
20-05-00 05:00,0.1
20-05-00 04:00,0.1
20-05-00 03:00,0.1
20-05-00 02:00,0.1
20-05-00 01:00,0.1
20-05-00 00:00,0.1
19-05-00 23:00,0.1
19-05-00 22:00,0.1
19-05-00 21:00,0.1
19-05-00 20:00,0.1
19-05-00 19:00,0.1
19-05-00 18:00,0.1
19-05-00 17:00,0.1
19-05-00 16:00,0.1
19-05-00 15:00,0.1
19-05-00 14:00,0.1
19-05-00 13:00,0.1
19-05-00 12:00,0.1
19-05-00 11:00,0.1
19-05-00 10:00,0.1
19-05-00 09:00,
19-05-00 08:00,0.2
19-05-00 07:00,0.2
19-05-00 06:00,0.4
19-05-00 05:00,0.1
19-05-00 04:00,0.1
19-05-00 03:00,0.1
19-05-00 02:00,0.1
19-05-00 01:00,0.1
19-05-00 00:00,0.1
18-05-00 23:00,0.1
18-05-00 22:00,0.1
18-05-00 21:00,0.1
18-05-00 20:00,0.1
18-05-00 19:00,0.1
18-05-00 18:00,0.1
18-05-00 17:00,0.1
18-05-00 16:00,0.1
18-05-00 15:00,0.1
18-05-00 14:00,0.1
18-05-00 13:00,0.1
18-05-00 12:00,0.1
18-05-00 11:00,0.1
18-05-00 10:00,0.1
18-05-00 09:00,0.1
18-05-00 08:00,0.2
18-05-00 07:00,0.2
18-05-00 06:00,0.2
18-05-00 05:00,0.1
18-05-00 04:00,0.1
18-05-00 03:00,0.1
18-05-00 02:00,0.1
18-05-00 01:00,0.1
18-05-00 00:00,0.1
17-05-00 23:00,0.1
17-05-00 22:00,0.1
17-05-00 21:00,0.1
17-05-00 20:00,0.1
17-05-00 19:00,0.1
17-05-00 18:00,0.1
17-05-00 17:00,0.1
17-05-00 16:00,0.1
17-05-00 15:00,0.1
17-05-00 14:00,0.1
17-05-00 13:00,0.1
17-05-00 12:00,0.1
17-05-00 11:00,0.1
17-05-00 10:00,
17-05-00 09:00,0.1
17-05-00 08:00,0.1
17-05-00 07:00,0.1
17-05-00 06:00,0.2
17-05-00 05:00,0.1
17-05-00 04:00,0.1
17-05-00 03:00,0.1
17-05-00 02:00,0.1
17-05-00 01:00,0.1
17-05-00 00:00,0.1
16-05-00 23:00,0.1
16-05-00 22:00,0.2
16-05-00 21:00,0.1
16-05-00 20:00,0.1
16-05-00 19:00,0.1
16-05-00 18:00,0.1
16-05-00 17:00,0.1
16-05-00 16:00,0.1
16-05-00 15:00,0.1
16-05-00 14:00,0.1
16-05-00 13:00,0.1
16-05-00 12:00,0.1
16-05-00 11:00,0.1
16-05-00 10:00,0.1
16-05-00 09:00,0.1
16-05-00 08:00,0.1
16-05-00 07:00,0.1
16-05-00 06:00,0.2
16-05-00 05:00,0.1
16-05-00 04:00,0.1
16-05-00 03:00,0.1
16-05-00 02:00,0.1
16-05-00 01:00,0.2
16-05-00 00:00,0.2
15-05-00 23:00,0.1
15-05-00 22:00,0.1
15-05-00 21:00,0.1
15-05-00 20:00,0.1
15-05-00 19:00,0.1
15-05-00 18:00,0.1
15-05-00 17:00,0.1
15-05-00 16:00,0.1
15-05-00 15:00,0.1
15-05-00 14:00,0.1
15-05-00 13:00,0.1
15-05-00 12:00,0.1
15-05-00 11:00,0.1
15-05-00 10:00,
15-05-00 09:00,
15-05-00 08:00,
15-05-00 07:00,
15-05-00 06:00,
15-05-00 05:00,
15-05-00 04:00,
15-05-00 03:00,
15-05-00 02:00,
15-05-00 01:00,
15-05-00 00:00,
14-05-00 23:00,
14-05-00 22:00,
14-05-00 21:00,
14-05-00 20:00,
14-05-00 19:00,
14-05-00 18:00,
14-05-00 17:00,
14-05-00 16:00,
14-05-00 15:00,
14-05-00 14:00,
14-05-00 13:00,
14-05-00 12:00,
14-05-00 11:00,
14-05-00 10:00,
14-05-00 09:00,
14-05-00 08:00,
14-05-00 07:00,
14-05-00 06:00,
14-05-00 05:00,
14-05-00 04:00,
14-05-00 03:00,
14-05-00 02:00,
14-05-00 01:00,
14-05-00 00:00,
13-05-00 23:00,
13-05-00 22:00,
13-05-00 21:00,
13-05-00 20:00,
13-05-00 19:00,
13-05-00 18:00,
13-05-00 17:00,
13-05-00 16:00,
13-05-00 15:00,
13-05-00 14:00,
13-05-00 13:00,
13-05-00 12:00,
13-05-00 11:00,
13-05-00 10:00,
13-05-00 09:00,
13-05-00 08:00,
13-05-00 07:00,
13-05-00 06:00,
13-05-00 05:00,
13-05-00 04:00,
13-05-00 03:00,
13-05-00 02:00,
13-05-00 01:00,
13-05-00 00:00,
12-05-00 23:00,
12-05-00 22:00,
12-05-00 21:00,
12-05-00 20:00,
12-05-00 19:00,
12-05-00 18:00,
12-05-00 17:00,
12-05-00 16:00,
12-05-00 15:00,
12-05-00 14:00,
12-05-00 13:00,
12-05-00 12:00,
12-05-00 11:00,0.1
12-05-00 10:00,0.1
12-05-00 09:00,0.1
12-05-00 08:00,0.3
12-05-00 07:00,0.1
12-05-00 06:00,0.1
12-05-00 05:00,0.1
12-05-00 04:00,0.1
12-05-00 03:00,0.1
12-05-00 02:00,0.1
12-05-00 01:00,0.1
12-05-00 00:00,0.1
11-05-00 23:00,0.1
11-05-00 22:00,0.1
11-05-00 21:00,0.1
11-05-00 20:00,0.1
11-05-00 19:00,0.1
11-05-00 18:00,0.1
11-05-00 17:00,0.1
11-05-00 16:00,0.1
11-05-00 15:00,0.1
11-05-00 14:00,0.1
11-05-00 13:00,0.1
11-05-00 12:00,0.1
11-05-00 11:00,0.1
11-05-00 10:00,0.1
11-05-00 09:00,0.1
11-05-00 08:00,0.1
11-05-00 07:00,0.1
11-05-00 06:00,0.1
11-05-00 05:00,0.1
11-05-00 04:00,0.1
11-05-00 03:00,0.1
11-05-00 02:00,0.1
11-05-00 01:00,0.1
11-05-00 00:00,0.2
10-05-00 23:00,0.3
10-05-00 22:00,0.3
10-05-00 21:00,
10-05-00 20:00,0.1
10-05-00 19:00,0.1
10-05-00 18:00,0.1
10-05-00 17:00,0.1
10-05-00 16:00,0.1
10-05-00 15:00,0.1
10-05-00 14:00,0.2
10-05-00 13:00,0.1
10-05-00 12:00,0.1
10-05-00 11:00,0.2
10-05-00 10:00,0.2
10-05-00 09:00,0.3
10-05-00 08:00,0.3
10-05-00 07:00,0.6
10-05-00 06:00,0.2
10-05-00 05:00,0.2
10-05-00 04:00,0.1
10-05-00 03:00,0.1
10-05-00 02:00,0.1
