Datum Zeit,Freiberg SO2
,µg/m³
01-06-01 00:00,1.8
31-05-01 23:00,1.8
31-05-01 22:00,1.2
31-05-01 21:00,1.0
31-05-01 20:00,1.0
31-05-01 19:00,1.1
31-05-01 18:00,1.0
31-05-01 17:00,1.0
31-05-01 16:00,1.5
31-05-01 15:00,4.8
31-05-01 14:00,11.5
31-05-01 13:00,9.2
31-05-01 12:00,3.0
31-05-01 11:00,1.4
31-05-01 10:00,1.9
31-05-01 09:00,2.1
31-05-01 08:00,3.1
31-05-01 07:00,4.3
31-05-01 06:00,5.1
31-05-01 05:00,1.7
31-05-01 04:00,
31-05-01 03:00,1.1
31-05-01 02:00,1.0
31-05-01 01:00,1.0
31-05-01 00:00,1.1
30-05-01 23:00,1.6
30-05-01 22:00,1.8
30-05-01 21:00,2.1
30-05-01 20:00,1.6
30-05-01 19:00,1.0
30-05-01 18:00,1.0
30-05-01 17:00,2.1
30-05-01 16:00,1.7
30-05-01 15:00,1.5
30-05-01 14:00,1.4
30-05-01 13:00,1.0
30-05-01 12:00,1.3
30-05-01 11:00,3.5
30-05-01 10:00,3.4
30-05-01 09:00,3.0
30-05-01 08:00,3.8
30-05-01 07:00,3.5
30-05-01 06:00,3.8
30-05-01 05:00,4.2
30-05-01 04:00,
30-05-01 03:00,1.0
30-05-01 02:00,1.0
30-05-01 01:00,1.3
30-05-01 00:00,1.4
29-05-01 23:00,2.5
29-05-01 22:00,1.5
29-05-01 21:00,2.6
29-05-01 20:00,3.9
29-05-01 19:00,2.7
29-05-01 18:00,4.1
29-05-01 17:00,5.2
29-05-01 16:00,2.7
29-05-01 15:00,1.8
29-05-01 14:00,2.0
29-05-01 13:00,2.2
29-05-01 12:00,2.2
29-05-01 11:00,2.8
29-05-01 10:00,3.1
29-05-01 09:00,3.6
29-05-01 08:00,3.7
29-05-01 07:00,2.9
29-05-01 06:00,2.7
29-05-01 05:00,
29-05-01 04:00,2.4
29-05-01 03:00,1.4
29-05-01 02:00,2.0
29-05-01 01:00,2.3
29-05-01 00:00,2.0
28-05-01 23:00,2.2
28-05-01 22:00,1.7
28-05-01 21:00,1.2
28-05-01 20:00,2.0
28-05-01 19:00,1.9
28-05-01 18:00,1.5
28-05-01 17:00,2.3
28-05-01 16:00,1.9
28-05-01 15:00,1.8
28-05-01 14:00,1.8
28-05-01 13:00,2.0
28-05-01 12:00,1.7
28-05-01 11:00,2.1
28-05-01 10:00,3.0
28-05-01 09:00,3.3
28-05-01 08:00,3.6
28-05-01 07:00,3.1
28-05-01 06:00,2.0
28-05-01 05:00,
28-05-01 04:00,2.2
28-05-01 03:00,2.0
28-05-01 02:00,2.4
28-05-01 01:00,2.8
28-05-01 00:00,2.1
27-05-01 23:00,2.7
27-05-01 22:00,2.4
27-05-01 21:00,2.9
27-05-01 20:00,3.4
27-05-01 19:00,3.5
27-05-01 18:00,3.7
27-05-01 17:00,3.5
27-05-01 16:00,3.1
27-05-01 15:00,3.8
27-05-01 14:00,4.2
27-05-01 13:00,4.9
27-05-01 12:00,5.6
27-05-01 11:00,6.3
27-05-01 10:00,8.7
27-05-01 09:00,14.0
27-05-01 08:00,7.0
27-05-01 07:00,6.1
27-05-01 06:00,
27-05-01 05:00,6.3
27-05-01 04:00,3.8
27-05-01 03:00,1.8
27-05-01 02:00,1.9
27-05-01 01:00,1.8
27-05-01 00:00,1.2
26-05-01 23:00,1.1
26-05-01 22:00,1.3
26-05-01 21:00,1.7
26-05-01 20:00,1.0
26-05-01 19:00,1.2
26-05-01 18:00,1.0
26-05-01 17:00,1.4
26-05-01 16:00,2.3
26-05-01 15:00,2.6
26-05-01 14:00,3.1
26-05-01 13:00,2.8
26-05-01 12:00,2.5
26-05-01 11:00,2.2
26-05-01 10:00,1.7
26-05-01 09:00,3.6
26-05-01 08:00,4.9
26-05-01 07:00,3.5
26-05-01 06:00,
26-05-01 05:00,1.0
26-05-01 04:00,1.0
26-05-01 03:00,1.0
26-05-01 02:00,1.0
26-05-01 01:00,1.0
26-05-01 00:00,1.1
25-05-01 23:00,2.4
25-05-01 22:00,2.9
25-05-01 21:00,1.3
25-05-01 20:00,1.0
25-05-01 19:00,1.0
25-05-01 18:00,2.0
25-05-01 17:00,1.6
25-05-01 16:00,1.0
25-05-01 15:00,1.0
25-05-01 14:00,1.0
25-05-01 13:00,1.0
25-05-01 12:00,1.1
25-05-01 11:00,1.4
25-05-01 10:00,2.9
25-05-01 09:00,4.7
25-05-01 08:00,4.8
25-05-01 07:00,
25-05-01 06:00,1.7
25-05-01 05:00,1.2
25-05-01 04:00,1.0
25-05-01 03:00,1.0
25-05-01 02:00,1.0
25-05-01 01:00,2.1
25-05-01 00:00,1.6
24-05-01 23:00,2.4
24-05-01 22:00,3.3
24-05-01 21:00,2.9
24-05-01 20:00,1.9
24-05-01 19:00,1.2
24-05-01 18:00,1.9
24-05-01 17:00,3.7
24-05-01 16:00,5.2
24-05-01 15:00,5.4
24-05-01 14:00,5.6
24-05-01 13:00,5.7
24-05-01 12:00,5.9
24-05-01 11:00,9.3
24-05-01 10:00,11.1
24-05-01 09:00,17.9
24-05-01 08:00,20.9
24-05-01 07:00,
24-05-01 06:00,15.2
24-05-01 05:00,7.9
24-05-01 04:00,10.4
24-05-01 03:00,11.9
24-05-01 02:00,13.7
24-05-01 01:00,7.5
24-05-01 00:00,5.7
23-05-01 23:00,5.1
23-05-01 22:00,5.4
23-05-01 21:00,6.4
23-05-01 20:00,5.7
23-05-01 19:00,3.6
23-05-01 18:00,4.2
23-05-01 17:00,4.8
23-05-01 16:00,4.7
23-05-01 15:00,4.5
23-05-01 14:00,5.8
23-05-01 13:00,7.8
23-05-01 12:00,5.6
23-05-01 11:00,4.9
23-05-01 10:00,7.9
23-05-01 09:00,7.5
23-05-01 08:00,
23-05-01 07:00,8.3
23-05-01 06:00,6.8
23-05-01 05:00,5.2
23-05-01 04:00,5.2
23-05-01 03:00,4.9
23-05-01 02:00,2.0
23-05-01 01:00,1.0
23-05-01 00:00,1.0
22-05-01 23:00,1.1
22-05-01 22:00,1.4
22-05-01 21:00,2.1
22-05-01 20:00,1.5
22-05-01 19:00,1.8
22-05-01 18:00,2.3
22-05-01 17:00,1.8
22-05-01 16:00,1.8
22-05-01 15:00,2.5
22-05-01 14:00,1.7
22-05-01 13:00,1.6
22-05-01 12:00,1.0
22-05-01 11:00,1.3
22-05-01 10:00,2.7
22-05-01 09:00,2.9
22-05-01 08:00,
22-05-01 07:00,
22-05-01 06:00,1.0
22-05-01 05:00,1.0
22-05-01 04:00,1.0
22-05-01 03:00,1.0
22-05-01 02:00,1.0
22-05-01 01:00,1.0
22-05-01 00:00,1.0
21-05-01 23:00,1.0
21-05-01 22:00,1.1
21-05-01 21:00,1.0
21-05-01 20:00,1.9
21-05-01 19:00,1.7
21-05-01 18:00,2.1
21-05-01 17:00,1.1
21-05-01 16:00,1.4
21-05-01 15:00,1.4
21-05-01 14:00,1.7
21-05-01 13:00,1.3
21-05-01 12:00,1.1
21-05-01 11:00,1.0
21-05-01 10:00,1.5
21-05-01 09:00,2.0
21-05-01 08:00,
21-05-01 07:00,2.7
21-05-01 06:00,1.9
21-05-01 05:00,1.2
21-05-01 04:00,1.0
21-05-01 03:00,1.0
21-05-01 02:00,1.0
21-05-01 01:00,1.0
21-05-01 00:00,1.0
20-05-01 23:00,1.0
20-05-01 22:00,1.0
20-05-01 21:00,1.0
20-05-01 20:00,1.0
20-05-01 19:00,3.2
20-05-01 18:00,2.5
20-05-01 17:00,1.3
20-05-01 16:00,1.0
20-05-01 15:00,1.1
20-05-01 14:00,1.0
20-05-01 13:00,1.0
20-05-01 12:00,1.0
20-05-01 11:00,1.0
20-05-01 10:00,1.0
20-05-01 09:00,1.0
20-05-01 08:00,
20-05-01 07:00,1.9
20-05-01 06:00,1.2
20-05-01 05:00,1.0
20-05-01 04:00,1.4
20-05-01 03:00,1.5
20-05-01 02:00,1.2
20-05-01 01:00,1.2
20-05-01 00:00,1.0
19-05-01 23:00,1.0
19-05-01 22:00,1.0
19-05-01 21:00,1.0
19-05-01 20:00,1.0
19-05-01 19:00,1.0
19-05-01 18:00,1.0
19-05-01 17:00,1.0
19-05-01 16:00,1.0
19-05-01 15:00,1.0
19-05-01 14:00,1.0
19-05-01 13:00,1.0
19-05-01 12:00,1.0
19-05-01 11:00,1.0
19-05-01 10:00,1.0
19-05-01 09:00,
19-05-01 08:00,1.0
19-05-01 07:00,1.0
19-05-01 06:00,1.0
19-05-01 05:00,1.0
19-05-01 04:00,1.0
19-05-01 03:00,1.0
19-05-01 02:00,1.0
19-05-01 01:00,1.0
19-05-01 00:00,1.2
18-05-01 23:00,1.3
18-05-01 22:00,1.8
18-05-01 21:00,2.6
18-05-01 20:00,1.1
18-05-01 19:00,1.2
18-05-01 18:00,1.5
18-05-01 17:00,1.7
18-05-01 16:00,1.1
18-05-01 15:00,1.0
18-05-01 14:00,2.1
18-05-01 13:00,1.0
18-05-01 12:00,1.7
18-05-01 11:00,1.8
18-05-01 10:00,2.3
18-05-01 09:00,
18-05-01 08:00,1.8
18-05-01 07:00,2.6
18-05-01 06:00,2.1
18-05-01 05:00,1.2
18-05-01 04:00,1.2
18-05-01 03:00,1.6
18-05-01 02:00,1.0
18-05-01 01:00,1.1
18-05-01 00:00,1.0
17-05-01 23:00,1.0
17-05-01 22:00,1.1
17-05-01 21:00,1.3
17-05-01 20:00,1.1
17-05-01 19:00,1.4
17-05-01 18:00,1.9
17-05-01 17:00,2.1
17-05-01 16:00,2.3
17-05-01 15:00,2.2
17-05-01 14:00,2.0
17-05-01 13:00,4.4
17-05-01 12:00,6.3
17-05-01 11:00,5.6
17-05-01 10:00,
17-05-01 09:00,6.1
17-05-01 08:00,5.9
17-05-01 07:00,3.4
17-05-01 06:00,2.0
17-05-01 05:00,1.0
17-05-01 04:00,1.0
17-05-01 03:00,1.0
17-05-01 02:00,1.0
17-05-01 01:00,1.0
17-05-01 00:00,1.5
16-05-01 23:00,2.0
16-05-01 22:00,2.4
16-05-01 21:00,2.2
16-05-01 20:00,2.4
16-05-01 19:00,2.8
16-05-01 18:00,2.2
16-05-01 17:00,2.7
16-05-01 16:00,2.6
16-05-01 15:00,2.7
16-05-01 14:00,2.7
16-05-01 13:00,3.1
16-05-01 12:00,2.8
16-05-01 11:00,2.6
16-05-01 10:00,
16-05-01 09:00,3.0
16-05-01 08:00,2.7
16-05-01 07:00,3.3
16-05-01 06:00,2.8
16-05-01 05:00,1.8
16-05-01 04:00,1.5
16-05-01 03:00,1.5
16-05-01 02:00,1.7
16-05-01 01:00,2.7
16-05-01 00:00,4.1
15-05-01 23:00,2.4
15-05-01 22:00,1.0
15-05-01 21:00,1.2
15-05-01 20:00,1.0
15-05-01 19:00,1.0
15-05-01 18:00,1.0
15-05-01 17:00,1.3
15-05-01 16:00,3.9
15-05-01 15:00,1.5
15-05-01 14:00,1.0
15-05-01 13:00,1.0
15-05-01 12:00,1.0
15-05-01 11:00,
15-05-01 10:00,1.8
15-05-01 09:00,1.3
15-05-01 08:00,1.9
15-05-01 07:00,2.7
15-05-01 06:00,2.1
15-05-01 05:00,1.0
15-05-01 04:00,1.0
15-05-01 03:00,2.0
15-05-01 02:00,4.2
15-05-01 01:00,4.7
15-05-01 00:00,4.5
14-05-01 23:00,4.3
14-05-01 22:00,2.9
14-05-01 21:00,5.9
14-05-01 20:00,9.7
14-05-01 19:00,5.9
14-05-01 18:00,4.8
14-05-01 17:00,1.0
14-05-01 16:00,3.2
14-05-01 15:00,6.9
14-05-01 14:00,7.4
14-05-01 13:00,7.7
14-05-01 12:00,7.5
14-05-01 11:00,
14-05-01 10:00,4.2
14-05-01 09:00,15.5
14-05-01 08:00,17.0
14-05-01 07:00,15.7
14-05-01 06:00,14.3
14-05-01 05:00,7.6
14-05-01 04:00,11.3
14-05-01 03:00,22.9
14-05-01 02:00,26.6
14-05-01 01:00,22.8
14-05-01 00:00,37.7
13-05-01 23:00,21.7
13-05-01 22:00,3.7
13-05-01 21:00,1.2
13-05-01 20:00,1.8
13-05-01 19:00,6.0
13-05-01 18:00,7.9
13-05-01 17:00,6.6
13-05-01 16:00,9.6
13-05-01 15:00,2.2
13-05-01 14:00,2.2
13-05-01 13:00,1.2
13-05-01 12:00,
13-05-01 11:00,1.0
13-05-01 10:00,2.0
13-05-01 09:00,1.0
13-05-01 08:00,1.0
13-05-01 07:00,1.0
13-05-01 06:00,1.0
13-05-01 05:00,1.0
13-05-01 04:00,1.0
13-05-01 03:00,1.0
13-05-01 02:00,1.0
13-05-01 01:00,1.0
13-05-01 00:00,1.0
12-05-01 23:00,1.0
12-05-01 22:00,1.0
12-05-01 21:00,1.0
