Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-05-01,
30-05-01,8.00
29-05-01,
28-05-01,8.31
27-05-01,
26-05-01,7.40
25-05-01,
24-05-01,11.06
23-05-01,
22-05-01,7.97
21-05-01,
20-05-01,13.32
19-05-01,
18-05-01,6.85
17-05-01,
16-05-01,5.67
15-05-01,
14-05-01,8.47
13-05-01,
12-05-01,4.17
11-05-01,
10-05-01,9.46
09-05-01,
08-05-01,3.97
07-05-01,
06-05-01,0.71
05-05-01,
04-05-01,35.49
03-05-01,
02-05-01,14.32
01-05-01,

