Datum Zeit,Zittau-Ost NO2
,µg/m³
01-06-01 00:00,
31-05-01 23:00,11
31-05-01 22:00,10
31-05-01 21:00,9
31-05-01 20:00,10
31-05-01 19:00,11
31-05-01 18:00,13
31-05-01 17:00,20
31-05-01 16:00,16
31-05-01 15:00,12
31-05-01 14:00,13
31-05-01 13:00,12
31-05-01 12:00,18
31-05-01 11:00,17
31-05-01 10:00,15
31-05-01 09:00,16
31-05-01 08:00,17
31-05-01 07:00,24
31-05-01 06:00,22
31-05-01 05:00,22
31-05-01 04:00,23
31-05-01 03:00,19
31-05-01 02:00,17
31-05-01 01:00,
31-05-01 00:00,21
30-05-01 23:00,20
30-05-01 22:00,23
30-05-01 21:00,28
30-05-01 20:00,14
30-05-01 19:00,9
30-05-01 18:00,9
30-05-01 17:00,8
30-05-01 16:00,10
30-05-01 15:00,9
30-05-01 14:00,8
30-05-01 13:00,8
30-05-01 12:00,7
30-05-01 11:00,8
30-05-01 10:00,9
30-05-01 09:00,11
30-05-01 08:00,10
30-05-01 07:00,9
30-05-01 06:00,8
30-05-01 05:00,9
30-05-01 04:00,9
30-05-01 03:00,6
30-05-01 02:00,5
30-05-01 01:00,
30-05-01 00:00,6
29-05-01 23:00,5
29-05-01 22:00,6
29-05-01 21:00,9
29-05-01 20:00,7
29-05-01 19:00,8
29-05-01 18:00,8
29-05-01 17:00,8
29-05-01 16:00,9
29-05-01 15:00,8
29-05-01 14:00,10
29-05-01 13:00,9
29-05-01 12:00,9
29-05-01 11:00,10
29-05-01 10:00,14
29-05-01 09:00,13
29-05-01 08:00,15
29-05-01 07:00,16
29-05-01 06:00,19
29-05-01 05:00,11
29-05-01 04:00,9
29-05-01 03:00,12
29-05-01 02:00,
29-05-01 01:00,11
29-05-01 00:00,11
28-05-01 23:00,11
28-05-01 22:00,12
28-05-01 21:00,16
28-05-01 20:00,10
28-05-01 19:00,11
28-05-01 18:00,11
28-05-01 17:00,14
28-05-01 16:00,12
28-05-01 15:00,11
28-05-01 14:00,12
28-05-01 13:00,12
28-05-01 12:00,13
28-05-01 11:00,13
28-05-01 10:00,13
28-05-01 09:00,12
28-05-01 08:00,19
28-05-01 07:00,20
28-05-01 06:00,15
28-05-01 05:00,9
28-05-01 04:00,8
28-05-01 03:00,7
28-05-01 02:00,
28-05-01 01:00,6
28-05-01 00:00,6
27-05-01 23:00,7
27-05-01 22:00,10
27-05-01 21:00,9
27-05-01 20:00,8
27-05-01 19:00,8
27-05-01 18:00,7
27-05-01 17:00,7
27-05-01 16:00,7
27-05-01 15:00,5
27-05-01 14:00,4
27-05-01 13:00,6
27-05-01 12:00,6
27-05-01 11:00,7
27-05-01 10:00,10
27-05-01 09:00,9
27-05-01 08:00,11
27-05-01 07:00,14
27-05-01 06:00,15
27-05-01 05:00,15
27-05-01 04:00,17
27-05-01 03:00,
27-05-01 02:00,17
27-05-01 01:00,23
27-05-01 00:00,24
26-05-01 23:00,32
26-05-01 22:00,38
26-05-01 21:00,25
26-05-01 20:00,13
26-05-01 19:00,9
26-05-01 18:00,9
26-05-01 17:00,6
26-05-01 16:00,7
26-05-01 15:00,8
26-05-01 14:00,6
26-05-01 13:00,6
26-05-01 12:00,6
26-05-01 11:00,6
26-05-01 10:00,8
26-05-01 09:00,12
26-05-01 08:00,13
26-05-01 07:00,14
26-05-01 06:00,14
26-05-01 05:00,11
26-05-01 04:00,18
26-05-01 03:00,
26-05-01 02:00,24
26-05-01 01:00,16
26-05-01 00:00,19
25-05-01 23:00,26
25-05-01 22:00,29
25-05-01 21:00,8
25-05-01 20:00,7
25-05-01 19:00,8
25-05-01 18:00,10
25-05-01 17:00,7
25-05-01 16:00,7
25-05-01 15:00,7
25-05-01 14:00,5
25-05-01 13:00,6
25-05-01 12:00,8
25-05-01 11:00,10
25-05-01 10:00,10
25-05-01 09:00,8
25-05-01 08:00,12
25-05-01 07:00,20
25-05-01 06:00,17
25-05-01 05:00,17
25-05-01 04:00,
25-05-01 03:00,15
25-05-01 02:00,18
25-05-01 01:00,18
25-05-01 00:00,29
24-05-01 23:00,27
24-05-01 22:00,43
24-05-01 21:00,23
24-05-01 20:00,19
24-05-01 19:00,8
24-05-01 18:00,7
24-05-01 17:00,6
24-05-01 16:00,4
24-05-01 15:00,5
24-05-01 14:00,5
24-05-01 13:00,5
24-05-01 12:00,6
24-05-01 11:00,6
24-05-01 10:00,7
24-05-01 09:00,8
24-05-01 08:00,20
24-05-01 07:00,24
24-05-01 06:00,16
24-05-01 05:00,16
24-05-01 04:00,
24-05-01 03:00,20
24-05-01 02:00,21
24-05-01 01:00,23
24-05-01 00:00,29
23-05-01 23:00,36
23-05-01 22:00,29
23-05-01 21:00,19
23-05-01 20:00,8
23-05-01 19:00,7
23-05-01 18:00,9
23-05-01 17:00,12
23-05-01 16:00,13
23-05-01 15:00,11
23-05-01 14:00,11
23-05-01 13:00,6
23-05-01 12:00,9
23-05-01 11:00,6
23-05-01 10:00,8
23-05-01 09:00,10
23-05-01 08:00,19
23-05-01 07:00,22
23-05-01 06:00,24
23-05-01 05:00,
23-05-01 04:00,17
23-05-01 03:00,18
23-05-01 02:00,19
23-05-01 01:00,35
23-05-01 00:00,22
22-05-01 23:00,17
22-05-01 22:00,25
22-05-01 21:00,17
22-05-01 20:00,10
22-05-01 19:00,8
22-05-01 18:00,13
22-05-01 17:00,7
22-05-01 16:00,12
22-05-01 15:00,11
22-05-01 14:00,10
22-05-01 13:00,7
22-05-01 12:00,21
22-05-01 11:00,16
22-05-01 10:00,11
22-05-01 09:00,12
22-05-01 08:00,14
22-05-01 07:00,21
22-05-01 06:00,16
22-05-01 05:00,
22-05-01 04:00,10
22-05-01 03:00,9
22-05-01 02:00,9
22-05-01 01:00,8
22-05-01 00:00,6
21-05-01 23:00,9
21-05-01 22:00,11
21-05-01 21:00,11
21-05-01 20:00,11
21-05-01 19:00,10
21-05-01 18:00,11
21-05-01 17:00,7
21-05-01 16:00,6
21-05-01 15:00,7
21-05-01 14:00,6
21-05-01 13:00,7
21-05-01 12:00,6
21-05-01 11:00,8
21-05-01 10:00,8
21-05-01 09:00,12
21-05-01 08:00,26
21-05-01 07:00,24
21-05-01 06:00,
21-05-01 05:00,13
21-05-01 04:00,12
21-05-01 03:00,9
21-05-01 02:00,10
21-05-01 01:00,12
21-05-01 00:00,13
20-05-01 23:00,16
20-05-01 22:00,16
20-05-01 21:00,20
20-05-01 20:00,12
20-05-01 19:00,6
20-05-01 18:00,5
20-05-01 17:00,4
20-05-01 16:00,4
20-05-01 15:00,4
20-05-01 14:00,4
20-05-01 13:00,4
20-05-01 12:00,3
20-05-01 11:00,3
20-05-01 10:00,5
20-05-01 09:00,5
20-05-01 08:00,9
20-05-01 07:00,10
20-05-01 06:00,
20-05-01 05:00,14
20-05-01 04:00,12
20-05-01 03:00,15
20-05-01 02:00,16
20-05-01 01:00,17
20-05-01 00:00,28
19-05-01 23:00,24
19-05-01 22:00,25
19-05-01 21:00,14
19-05-01 20:00,10
19-05-01 19:00,6
19-05-01 18:00,5
19-05-01 17:00,4
19-05-01 16:00,4
19-05-01 15:00,5
19-05-01 14:00,5
19-05-01 13:00,6
19-05-01 12:00,7
19-05-01 11:00,8
19-05-01 10:00,9
19-05-01 09:00,7
19-05-01 08:00,5
19-05-01 07:00,
19-05-01 06:00,6
19-05-01 05:00,8
19-05-01 04:00,9
19-05-01 03:00,10
19-05-01 02:00,10
19-05-01 01:00,10
19-05-01 00:00,11
18-05-01 23:00,10
18-05-01 22:00,12
18-05-01 21:00,16
18-05-01 20:00,15
18-05-01 19:00,17
18-05-01 18:00,18
18-05-01 17:00,16
18-05-01 16:00,12
18-05-01 15:00,15
18-05-01 14:00,14
18-05-01 13:00,13
18-05-01 12:00,12
18-05-01 11:00,16
18-05-01 10:00,21
18-05-01 09:00,21
18-05-01 08:00,17
18-05-01 07:00,
18-05-01 06:00,20
18-05-01 05:00,16
18-05-01 04:00,14
18-05-01 03:00,13
18-05-01 02:00,13
18-05-01 01:00,13
18-05-01 00:00,17
17-05-01 23:00,20
17-05-01 22:00,21
17-05-01 21:00,21
17-05-01 20:00,11
17-05-01 19:00,11
17-05-01 18:00,9
17-05-01 17:00,8
17-05-01 16:00,11
17-05-01 15:00,10
17-05-01 14:00,12
17-05-01 13:00,12
17-05-01 12:00,11
17-05-01 11:00,11
17-05-01 10:00,11
17-05-01 09:00,10
17-05-01 08:00,
17-05-01 07:00,13
17-05-01 06:00,15
17-05-01 05:00,13
17-05-01 04:00,16
17-05-01 03:00,9
17-05-01 02:00,8
17-05-01 01:00,6
17-05-01 00:00,8
16-05-01 23:00,8
16-05-01 22:00,16
16-05-01 21:00,19
16-05-01 20:00,13
16-05-01 19:00,14
16-05-01 18:00,11
16-05-01 17:00,9
16-05-01 16:00,10
16-05-01 15:00,8
16-05-01 14:00,11
16-05-01 13:00,13
16-05-01 12:00,11
16-05-01 11:00,14
16-05-01 10:00,13
16-05-01 09:00,16
16-05-01 08:00,
16-05-01 07:00,18
16-05-01 06:00,17
16-05-01 05:00,13
16-05-01 04:00,11
16-05-01 03:00,11
16-05-01 02:00,9
16-05-01 01:00,8
16-05-01 00:00,7
15-05-01 23:00,7
15-05-01 22:00,10
15-05-01 21:00,15
15-05-01 20:00,20
15-05-01 19:00,14
15-05-01 18:00,12
15-05-01 17:00,15
15-05-01 16:00,14
15-05-01 15:00,14
15-05-01 14:00,16
15-05-01 13:00,18
15-05-01 12:00,16
15-05-01 11:00,17
15-05-01 10:00,15
15-05-01 09:00,
15-05-01 08:00,15
15-05-01 07:00,21
