Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-05,13:00,,0.1,1,5,79,,,1.0
2000-03-05,14:00,,0.1,1,5,80,,,
2000-03-05,15:00,,0.1,1,5,81,,,1.0
2000-03-05,16:00,,0.1,1,5,80,,,1.0
2000-03-05,17:00,,0.1,1,6,80,,,1.0
2000-03-05,18:00,,0.1,1,6,78,,,1.0
2000-03-05,19:00,,0.1,1,8,75,,,1.0
2000-03-05,20:00,,0.1,1,9,73,,,1.0
2000-03-05,21:00,,0.2,1,9,71,,,2.0
2000-03-05,22:00,,0.1,1,10,65,,,3.8
2000-03-05,23:00,,0.1,1,10,64,,,4.2
2000-03-06,,,,,,,12,,
2000-03-06,00:00,,0.1,1,10,63,,,8.0
2000-03-06,01:00,,0.1,1,12,60,,,7.6
2000-03-06,02:00,,0.1,1,12,57,,,7.5
2000-03-06,03:00,,0.1,1,17,52,,,3.7
2000-03-06,04:00,,0.1,1,14,54,,,3.4
2000-03-06,05:00,,0.1,1,14,53,,,3.7
2000-03-06,06:00,,0.1,1,18,47,,,3.9
2000-03-06,07:00,,0.1,1,23,43,,,4.3
2000-03-06,08:00,,0.1,3,28,41,,,4.0
2000-03-06,09:00,,0.1,,,,,,4.8
2000-03-06,10:00,,0.1,3,16,59,,,4.5
2000-03-06,11:00,,0.1,2,13,64,,,4.3
2000-03-06,12:00,,0.1,3,13,69,,,3.2
2000-03-06,13:00,,0.1,2,12,71,,,2.3
2000-03-06,14:00,,0.1,1,11,75,,,
2000-03-06,15:00,,0.1,1,10,81,,,1.6
2000-03-06,16:00,,0.1,1,13,79,,,2.1
2000-03-06,17:00,,0.1,1,18,71,,,2.6
2000-03-06,18:00,,0.1,1,15,75,,,2.9
2000-03-06,19:00,,0.1,1,21,68,,,2.3
2000-03-06,20:00,,0.1,1,20,68,,,2.8
2000-03-06,21:00,,0.1,1,19,67,,,2.9
2000-03-06,22:00,,,1,18,70,,,2.6
2000-03-06,23:00,,0.1,1,17,69,,,1.9
2000-03-07,,,,,,,15,,
2000-03-07,00:00,,0.1,1,15,71,,,1.9
2000-03-07,01:00,,0.1,1,12,74,,,3.9
2000-03-07,02:00,,0.1,1,11,75,,,3.8
2000-03-07,03:00,,0.1,1,11,75,,,4.1
2000-03-07,04:00,,0.1,1,12,73,,,4.3
2000-03-07,05:00,,0.1,1,13,71,,,5.2
2000-03-07,06:00,,0.1,1,16,66,,,5.1
2000-03-07,07:00,,0.1,1,18,62,,,4.3
2000-03-07,08:00,,0.1,1,20,,,,3.8
2000-03-07,09:00,,0.1,,,58,,,4.3
2000-03-07,10:00,,0.1,1,21,57,,,4.0
2000-03-07,11:00,,0.1,2,19,58,,,4.3
2000-03-07,12:00,,0.1,2,17,61,,,4.1
2000-03-07,13:00,,0.1,1,14,64,,,
2000-03-07,14:00,,0.1,1,14,64,,,4.3
2000-03-07,15:00,,0.1,2,15,65,,,3.8
2000-03-07,16:00,,0.1,2,16,62,,,3.7
2000-03-07,17:00,,0.1,1,21,59,,,3.9
2000-03-07,18:00,,0.1,1,21,59,,,4.6
2000-03-07,19:00,,0.1,1,26,56,,,5.5
2000-03-07,20:00,,0.1,1,23,58,,,5.3
2000-03-07,21:00,,0.1,1,18,58,,,4.0
2000-03-07,22:00,,0.1,1,18,55,,,2.8
2000-03-07,23:00,,0.1,1,16,54,,,2.9
2000-03-08,,,,,,,8,,
2000-03-08,00:00,,0.1,1,16,52,,,3.3
2000-03-08,01:00,,0.1,1,14,51,,,2.4
2000-03-08,02:00,,0.1,1,13,51,,,2.0
2000-03-08,03:00,,0.1,1,11,52,,,1.9
2000-03-08,04:00,,0.1,1,10,53,,,1.7
2000-03-08,05:00,,0.1,1,10,52,,,2.3
