Datum Zeit,Chemnitz-Leipziger Str. PM10_HVS
,µg/m³
31-08-18,
30-08-18,
29-08-18,
28-08-18,
27-08-18,
26-08-18,
25-08-18,
24-08-18,
23-08-18,
22-08-18,
21-08-18,
20-08-18,
19-08-18,
18-08-18,
17-08-18,
16-08-18,17.59
15-08-18,15.53
14-08-18,10.60
13-08-18,17.26
12-08-18,12.10
11-08-18,10.23
10-08-18,12.11
09-08-18,25.66
08-08-18,23.43
07-08-18,17.45
06-08-18,16.00
05-08-18,11.49
04-08-18,27.32
03-08-18,27.96
02-08-18,20.24
01-08-18,24.28

