Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-06-10,39
29-06-10,53
28-06-10,26
27-06-10,14
26-06-10,16
25-06-10,42
24-06-10,47
23-06-10,47
22-06-10,21
21-06-10,
20-06-10,11
19-06-10,12
18-06-10,32
17-06-10,23
16-06-10,18
15-06-10,23
14-06-10,20
13-06-10,14
12-06-10,19
11-06-10,50
10-06-10,34
09-06-10,27
08-06-10,34
07-06-10,48
06-06-10,22
05-06-10,27
04-06-10,33
03-06-10,19
02-06-10,13
01-06-10,9

