Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-08-04,4.94
30-08-04,5.29
29-08-04,6.11
28-08-04,7.44
27-08-04,7.85
26-08-04,5.96
25-08-04,5.51
24-08-04,9.28
23-08-04,7.10
22-08-04,4.01
21-08-04,5.18
20-08-04,5.39
19-08-04,7.28
18-08-04,9.21
17-08-04,9.92
16-08-04,11.75
15-08-04,10.69
14-08-04,6.28
13-08-04,5.46
12-08-04,25.47
11-08-04,18.74
10-08-04,18.03
09-08-04,18.47
08-08-04,17.50
07-08-04,17.21
06-08-04,15.36
05-08-04,16.40
04-08-04,12.69
03-08-04,11.42
02-08-04,12.03
01-08-04,15.63

