Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-04,
30-08-04,10.65
29-08-04,11.64
28-08-04,10.97
27-08-04,14.08
26-08-04,13.07
25-08-04,12.29
24-08-04,12.97
23-08-04,10.33
22-08-04,8.07
21-08-04,9.03
20-08-04,12.46
19-08-04,19.51
18-08-04,17.67
17-08-04,18.53
16-08-04,17.40
15-08-04,14.88
14-08-04,12.17
13-08-04,12.49
12-08-04,34.81
11-08-04,27.60
10-08-04,23.46
09-08-04,24.42
08-08-04,22.08
07-08-04,22.01
06-08-04,20.36
05-08-04,20.93
04-08-04,19.04
03-08-04,18.39
02-08-04,19.26
01-08-04,19.36

