Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-06-14,9.30
29-06-14,6.14
28-06-14,8.99
27-06-14,10.34
26-06-14,9.60
25-06-14,6.98
24-06-14,8.95
23-06-14,6.01
22-06-14,4.48
21-06-14,4.69
20-06-14,5.38
19-06-14,8.05
18-06-14,11.31
17-06-14,9.50
16-06-14,9.71
15-06-14,5.19
14-06-14,7.21
13-06-14,8.76
12-06-14,8.88
11-06-14,21.15
10-06-14,21.46
09-06-14,15.09
08-06-14,12.64
07-06-14,10.11
06-06-14,9.33
05-06-14,7.09
04-06-14,12.66
03-06-14,12.02
02-06-14,11.23
01-06-14,10.42

