Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-06-14,10.90
29-06-14,7.01
28-06-14,9.37
27-06-14,11.87
26-06-14,10.39
25-06-14,9.77
24-06-14,8.91
23-06-14,7.01
22-06-14,5.70
21-06-14,6.12
20-06-14,6.39
19-06-14,9.74
18-06-14,12.90
17-06-14,10.89
16-06-14,
15-06-14,6.87
14-06-14,6.54
13-06-14,9.31
12-06-14,9.68
11-06-14,21.75
10-06-14,19.63
09-06-14,14.28
08-06-14,13.01
07-06-14,11.05
06-06-14,10.06
05-06-14,8.62
04-06-14,13.56
03-06-14,10.15
02-06-14,12.81
01-06-14,9.16

