Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-14,6.46
29-06-14,4.98
28-06-14,7.84
27-06-14,8.76
26-06-14,6.48
25-06-14,5.65
24-06-14,5.92
23-06-14,4.97
22-06-14,3.92
21-06-14,4.07
20-06-14,3.79
19-06-14,7.15
18-06-14,9.04
17-06-14,6.59
16-06-14,6.60
15-06-14,5.09
14-06-14,4.69
13-06-14,6.32
12-06-14,6.10
11-06-14,18.33
10-06-14,16.55
09-06-14,13.64
08-06-14,11.62
07-06-14,9.91
06-06-14,7.05
05-06-14,5.41
04-06-14,8.39
03-06-14,7.42
02-06-14,8.49
01-06-14,8.08

