Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-06-14,5.16
29-06-14,3.94
28-06-14,7.04
27-06-14,8.11
26-06-14,7.61
25-06-14,6.10
24-06-14,5.86
23-06-14,4.89
22-06-14,4.54
21-06-14,3.01
20-06-14,2.59
19-06-14,6.79
18-06-14,9.39
17-06-14,7.88
16-06-14,7.19
15-06-14,6.43
14-06-14,6.57
13-06-14,6.30
12-06-14,9.09
11-06-14,19.32
10-06-14,14.49
09-06-14,12.57
08-06-14,12.58
07-06-14,10.95
06-06-14,7.56
05-06-14,4.87
04-06-14,11.58
03-06-14,11.94
02-06-14,9.88
01-06-14,9.77

