Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-06-14,8.81
29-06-14,6.09
28-06-14,9.01
27-06-14,10.34
26-06-14,8.27
25-06-14,6.35
24-06-14,8.27
23-06-14,6.91
22-06-14,5.38
21-06-14,5.80
20-06-14,5.87
19-06-14,7.65
18-06-14,11.11
17-06-14,10.39
16-06-14,10.27
15-06-14,6.96
14-06-14,6.49
13-06-14,8.81
12-06-14,9.14
11-06-14,14.35
10-06-14,26.23
09-06-14,16.55
08-06-14,14.60
07-06-14,12.16
06-06-14,9.25
05-06-14,7.62
04-06-14,10.45
03-06-14,9.07
02-06-14,10.28
01-06-14,9.69

