Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-06-13,5.35
29-06-13,5.24
28-06-13,7.91
27-06-13,7.99
26-06-13,3.32
25-06-13,4.01
24-06-13,5.93
23-06-13,4.35
22-06-13,6.34
21-06-13,4.82
20-06-13,23.24
19-06-13,25.06
18-06-13,17.06
17-06-13,11.94
16-06-13,4.77
15-06-13,8.53
14-06-13,5.02
13-06-13,10.69
12-06-13,11.97
11-06-13,8.98
10-06-13,9.60
09-06-13,9.71
08-06-13,14.35
07-06-13,13.12
06-06-13,10.85
05-06-13,6.38
04-06-13,13.86
03-06-13,6.23
02-06-13,1.20
01-06-13,

