Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-13,5.28
29-06-13,6.15
28-06-13,10.39
27-06-13,8.83
26-06-13,5.02
25-06-13,5.29
24-06-13,6.66
23-06-13,6.41
22-06-13,7.55
21-06-13,7.14
20-06-13,24.31
19-06-13,24.89
18-06-13,24.15
17-06-13,11.38
16-06-13,6.57
15-06-13,10.61
14-06-13,7.98
13-06-13,11.70
12-06-13,11.11
11-06-13,7.92
10-06-13,10.38
09-06-13,13.71
08-06-13,17.62
07-06-13,19.89
06-06-13,13.38
05-06-13,6.38
04-06-13,11.15
03-06-13,7.15
02-06-13,4.11
01-06-13,11.81

