Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-06-13,6.04
29-06-13,7.60
28-06-13,9.68
27-06-13,11.25
26-06-13,6.82
25-06-13,8.12
24-06-13,7.36
23-06-13,6.57
22-06-13,7.24
21-06-13,7.91
20-06-13,32.08
19-06-13,26.36
18-06-13,24.07
17-06-13,10.25
16-06-13,7.16
15-06-13,10.01
14-06-13,7.74
13-06-13,13.10
12-06-13,12.96
11-06-13,11.70
10-06-13,9.27
09-06-13,14.13
08-06-13,17.07
07-06-13,15.31
06-06-13,11.65
05-06-13,7.54
04-06-13,9.93
03-06-13,7.95
02-06-13,5.92
01-06-13,12.92

