Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-06-13,6.52
29-06-13,8.00
28-06-13,12.83
27-06-13,14.79
26-06-13,5.93
25-06-13,6.53
24-06-13,6.94
23-06-13,6.89
22-06-13,8.18
21-06-13,7.90
20-06-13,25.36
19-06-13,26.44
18-06-13,24.70
17-06-13,12.12
16-06-13,6.91
15-06-13,12.44
14-06-13,7.30
13-06-13,14.81
12-06-13,14.24
11-06-13,10.80
10-06-13,11.81
09-06-13,13.07
08-06-13,16.45
07-06-13,17.17
06-06-13,11.81
05-06-13,6.78
04-06-13,27.38
03-06-13,10.14
02-06-13,4.11
01-06-13,10.57

