Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-13,4.43
29-06-13,4.96
28-06-13,8.70
27-06-13,7.06
26-06-13,3.96
25-06-13,4.16
24-06-13,4.86
23-06-13,5.38
22-06-13,6.25
21-06-13,5.30
20-06-13,22.41
19-06-13,21.55
18-06-13,19.29
17-06-13,10.01
16-06-13,5.67
15-06-13,8.54
14-06-13,6.32
13-06-13,10.54
12-06-13,10.40
11-06-13,7.00
10-06-13,8.02
09-06-13,13.17
08-06-13,15.86
07-06-13,15.29
06-06-13,10.12
05-06-13,5.32
04-06-13,8.74
03-06-13,4.81
02-06-13,2.64
01-06-13,9.22

