Datum Zeit,Leipzig-West O3
,µg/m³
01-06-07 00:00,64
31-05-07 23:00,70
31-05-07 22:00,74
31-05-07 21:00,83
31-05-07 20:00,93
31-05-07 19:00,93
31-05-07 18:00,103
31-05-07 17:00,116
31-05-07 16:00,113
31-05-07 15:00,107
31-05-07 14:00,104
31-05-07 13:00,104
31-05-07 12:00,99
31-05-07 11:00,97
31-05-07 10:00,70
31-05-07 09:00,40
31-05-07 08:00,29
31-05-07 07:00,23
31-05-07 06:00,9
31-05-07 05:00,19
31-05-07 04:00,30
31-05-07 03:00,36
31-05-07 02:00,40
31-05-07 01:00,44
31-05-07 00:00,45
30-05-07 23:00,52
30-05-07 22:00,57
30-05-07 21:00,79
30-05-07 20:00,90
30-05-07 19:00,96
30-05-07 18:00,95
30-05-07 17:00,95
30-05-07 16:00,90
30-05-07 15:00,85
30-05-07 14:00,78
30-05-07 13:00,72
30-05-07 12:00,72
30-05-07 11:00,63
30-05-07 10:00,60
30-05-07 09:00,56
30-05-07 08:00,48
30-05-07 07:00,40
30-05-07 06:00,39
30-05-07 05:00,42
30-05-07 04:00,49
30-05-07 03:00,54
30-05-07 02:00,55
30-05-07 01:00,54
30-05-07 00:00,63
29-05-07 23:00,64
29-05-07 22:00,62
29-05-07 21:00,54
29-05-07 20:00,51
29-05-07 19:00,55
29-05-07 18:00,44
29-05-07 17:00,36
29-05-07 16:00,30
29-05-07 15:00,26
29-05-07 14:00,23
29-05-07 13:00,27
29-05-07 12:00,23
29-05-07 11:00,37
29-05-07 10:00,21
29-05-07 09:00,17
29-05-07 08:00,20
29-05-07 07:00,24
29-05-07 06:00,30
29-05-07 05:00,38
29-05-07 04:00,41
29-05-07 03:00,41
29-05-07 02:00,43
29-05-07 01:00,44
29-05-07 00:00,46
28-05-07 23:00,47
28-05-07 22:00,44
28-05-07 21:00,42
28-05-07 20:00,40
28-05-07 19:00,39
28-05-07 18:00,37
28-05-07 17:00,45
28-05-07 16:00,48
28-05-07 15:00,53
28-05-07 14:00,54
28-05-07 13:00,50
28-05-07 12:00,34
28-05-07 11:00,37
28-05-07 10:00,38
28-05-07 09:00,32
28-05-07 08:00,29
28-05-07 07:00,22
28-05-07 06:00,20
28-05-07 05:00,18
28-05-07 04:00,13
28-05-07 03:00,15
28-05-07 02:00,15
28-05-07 01:00,22
28-05-07 00:00,24
27-05-07 23:00,32
27-05-07 22:00,45
27-05-07 21:00,60
27-05-07 20:00,60
27-05-07 19:00,86
27-05-07 18:00,101
27-05-07 17:00,107
27-05-07 16:00,105
27-05-07 15:00,94
27-05-07 14:00,77
27-05-07 13:00,63
27-05-07 12:00,59
27-05-07 11:00,58
27-05-07 10:00,62
27-05-07 09:00,61
27-05-07 08:00,57
27-05-07 07:00,60
27-05-07 06:00,64
27-05-07 05:00,68
27-05-07 04:00,72
27-05-07 03:00,59
27-05-07 02:00,27
27-05-07 01:00,38
27-05-07 00:00,49
26-05-07 23:00,66
26-05-07 22:00,68
26-05-07 21:00,74
26-05-07 20:00,85
26-05-07 19:00,86
26-05-07 18:00,89
26-05-07 17:00,107
26-05-07 16:00,109
26-05-07 15:00,107
26-05-07 14:00,117
26-05-07 13:00,111
26-05-07 12:00,101
26-05-07 11:00,82
26-05-07 10:00,64
26-05-07 09:00,56
26-05-07 08:00,42
26-05-07 07:00,38
26-05-07 06:00,26
26-05-07 05:00,30
26-05-07 04:00,42
26-05-07 03:00,49
26-05-07 02:00,66
26-05-07 01:00,60
26-05-07 00:00,66
25-05-07 23:00,69
25-05-07 22:00,60
25-05-07 21:00,76
25-05-07 20:00,80
25-05-07 19:00,66
25-05-07 18:00,69
25-05-07 17:00,70
25-05-07 16:00,114
25-05-07 15:00,136
25-05-07 14:00,144
25-05-07 13:00,142
25-05-07 12:00,136
25-05-07 11:00,125
25-05-07 10:00,99
25-05-07 09:00,77
25-05-07 08:00,69
25-05-07 07:00,52
25-05-07 06:00,48
25-05-07 05:00,58
25-05-07 04:00,64
25-05-07 03:00,61
25-05-07 02:00,63
25-05-07 01:00,65
25-05-07 00:00,75
24-05-07 23:00,89
24-05-07 22:00,100
24-05-07 21:00,106
24-05-07 20:00,122
24-05-07 19:00,124
24-05-07 18:00,124
24-05-07 17:00,125
24-05-07 16:00,126
24-05-07 15:00,127
24-05-07 14:00,122
24-05-07 13:00,118
24-05-07 12:00,110
24-05-07 11:00,94
24-05-07 10:00,70
24-05-07 09:00,57
24-05-07 08:00,48
24-05-07 07:00,46
24-05-07 06:00,34
24-05-07 05:00,38
24-05-07 04:00,47
24-05-07 03:00,36
24-05-07 02:00,36
24-05-07 01:00,39
24-05-07 00:00,35
23-05-07 23:00,42
23-05-07 22:00,47
23-05-07 21:00,56
23-05-07 20:00,65
23-05-07 19:00,83
23-05-07 18:00,90
23-05-07 17:00,94
23-05-07 16:00,93
23-05-07 15:00,88
23-05-07 14:00,82
23-05-07 13:00,76
23-05-07 12:00,64
23-05-07 11:00,57
23-05-07 10:00,35
23-05-07 09:00,31
23-05-07 08:00,31
23-05-07 07:00,25
23-05-07 06:00,27
23-05-07 05:00,33
23-05-07 04:00,38
23-05-07 03:00,42
23-05-07 02:00,54
23-05-07 01:00,56
23-05-07 00:00,63
22-05-07 23:00,76
22-05-07 22:00,81
22-05-07 21:00,67
22-05-07 20:00,57
22-05-07 19:00,76
22-05-07 18:00,74
22-05-07 17:00,60
