Datum Zeit,Bautzen SO2
,µg/m³
01-08-02 00:00,2.4
31-07-02 23:00,3.6
31-07-02 22:00,6.0
31-07-02 21:00,8.2
31-07-02 20:00,2.9
31-07-02 19:00,4.2
31-07-02 18:00,3.8
31-07-02 17:00,5.1
31-07-02 16:00,5.3
31-07-02 15:00,5.5
31-07-02 14:00,5.2
31-07-02 13:00,3.4
31-07-02 12:00,3.4
31-07-02 11:00,4.0
31-07-02 10:00,4.6
31-07-02 09:00,3.3
31-07-02 08:00,3.4
31-07-02 07:00,2.1
31-07-02 06:00,2.1
31-07-02 05:00,2.2
31-07-02 04:00,2.1
31-07-02 03:00,1.9
31-07-02 02:00,1.8
31-07-02 01:00,1.7
31-07-02 00:00,1.5
30-07-02 23:00,1.1
30-07-02 22:00,1.0
30-07-02 21:00,1.0
30-07-02 20:00,1.1
30-07-02 19:00,1.3
30-07-02 18:00,1.9
30-07-02 17:00,1.8
30-07-02 16:00,2.1
30-07-02 15:00,2.7
30-07-02 14:00,5.5
30-07-02 13:00,2.0
30-07-02 12:00,2.5
30-07-02 11:00,2.3
30-07-02 10:00,2.9
30-07-02 09:00,3.6
30-07-02 08:00,3.4
30-07-02 07:00,3.8
30-07-02 06:00,2.6
30-07-02 05:00,2.8
30-07-02 04:00,2.0
30-07-02 03:00,2.3
30-07-02 02:00,1.6
30-07-02 01:00,2.3
30-07-02 00:00,2.3
29-07-02 23:00,2.0
29-07-02 22:00,2.1
29-07-02 21:00,2.0
29-07-02 20:00,2.0
29-07-02 19:00,1.7
29-07-02 18:00,2.2
29-07-02 17:00,1.9
29-07-02 16:00,1.9
29-07-02 15:00,2.5
29-07-02 14:00,1.6
29-07-02 13:00,2.3
29-07-02 12:00,1.9
29-07-02 11:00,3.5
29-07-02 10:00,15.7
29-07-02 09:00,5.8
29-07-02 08:00,3.0
29-07-02 07:00,2.6
29-07-02 06:00,2.3
29-07-02 05:00,1.5
29-07-02 04:00,1.0
29-07-02 03:00,1.0
29-07-02 02:00,1.0
29-07-02 01:00,1.0
29-07-02 00:00,1.3
28-07-02 23:00,1.7
28-07-02 22:00,1.7
28-07-02 21:00,1.8
28-07-02 20:00,1.5
28-07-02 19:00,1.8
28-07-02 18:00,2.3
28-07-02 17:00,3.0
28-07-02 16:00,3.7
28-07-02 15:00,4.3
28-07-02 14:00,6.0
28-07-02 13:00,12.9
28-07-02 12:00,14.0
28-07-02 11:00,11.2
28-07-02 10:00,11.7
28-07-02 09:00,5.9
28-07-02 08:00,2.7
28-07-02 07:00,4.0
28-07-02 06:00,1.4
28-07-02 05:00,1.3
28-07-02 04:00,1.2
28-07-02 03:00,1.7
28-07-02 02:00,1.6
28-07-02 01:00,2.5
28-07-02 00:00,2.3
27-07-02 23:00,2.7
27-07-02 22:00,4.7
27-07-02 21:00,7.4
27-07-02 20:00,13.1
27-07-02 19:00,6.7
27-07-02 18:00,1.0
27-07-02 17:00,1.0
27-07-02 16:00,1.0
27-07-02 15:00,1.0
27-07-02 14:00,1.0
27-07-02 13:00,1.0
27-07-02 12:00,1.0
27-07-02 11:00,1.0
27-07-02 10:00,1.0
27-07-02 09:00,1.0
27-07-02 08:00,1.0
27-07-02 07:00,1.0
27-07-02 06:00,1.0
27-07-02 05:00,1.1
27-07-02 04:00,1.0
27-07-02 03:00,1.0
27-07-02 02:00,1.0
27-07-02 01:00,1.0
27-07-02 00:00,1.0
26-07-02 23:00,1.1
26-07-02 22:00,1.2
26-07-02 21:00,1.2
26-07-02 20:00,1.4
26-07-02 19:00,1.1
26-07-02 18:00,1.0
26-07-02 17:00,1.0
26-07-02 16:00,1.3
26-07-02 15:00,2.1
26-07-02 14:00,2.9
26-07-02 13:00,2.6
26-07-02 12:00,2.8
26-07-02 11:00,2.6
26-07-02 10:00,1.7
26-07-02 09:00,2.2
26-07-02 08:00,5.9
26-07-02 07:00,1.6
26-07-02 06:00,1.2
26-07-02 05:00,1.1
26-07-02 04:00,1.0
26-07-02 03:00,1.0
26-07-02 02:00,1.0
26-07-02 01:00,1.0
26-07-02 00:00,1.0
25-07-02 23:00,1.0
25-07-02 22:00,1.0
25-07-02 21:00,1.0
25-07-02 20:00,1.0
25-07-02 19:00,1.0
25-07-02 18:00,1.0
25-07-02 17:00,1.0
25-07-02 16:00,1.0
25-07-02 15:00,1.0
25-07-02 14:00,1.0
25-07-02 13:00,1.0
25-07-02 12:00,1.0
25-07-02 11:00,1.8
25-07-02 10:00,2.1
25-07-02 09:00,8.0
25-07-02 08:00,3.6
25-07-02 07:00,3.9
25-07-02 06:00,4.4
25-07-02 05:00,2.5
25-07-02 04:00,2.9
25-07-02 03:00,2.2
25-07-02 02:00,1.0
25-07-02 01:00,1.0
25-07-02 00:00,1.0
24-07-02 23:00,1.0
24-07-02 22:00,1.0
24-07-02 21:00,1.0
24-07-02 20:00,1.0
24-07-02 19:00,1.0
24-07-02 18:00,1.0
24-07-02 17:00,1.0
24-07-02 16:00,1.1
24-07-02 15:00,1.0
24-07-02 14:00,1.0
24-07-02 13:00,1.0
24-07-02 12:00,1.0
24-07-02 11:00,1.0
24-07-02 10:00,1.0
24-07-02 09:00,1.0
24-07-02 08:00,1.2
24-07-02 07:00,6.1
24-07-02 06:00,5.6
24-07-02 05:00,1.0
24-07-02 04:00,1.6
24-07-02 03:00,1.5
24-07-02 02:00,1.1
24-07-02 01:00,1.1
24-07-02 00:00,1.1
23-07-02 23:00,1.5
23-07-02 22:00,1.9
23-07-02 21:00,1.3
23-07-02 20:00,1.9
23-07-02 19:00,1.8
23-07-02 18:00,1.8
23-07-02 17:00,1.8
23-07-02 16:00,1.9
23-07-02 15:00,2.2
23-07-02 14:00,2.1
23-07-02 13:00,2.9
23-07-02 12:00,3.2
23-07-02 11:00,3.2
23-07-02 10:00,3.5
23-07-02 09:00,3.9
23-07-02 08:00,3.8
23-07-02 07:00,3.3
