Datum Zeit,Borna O3
,µg/m³
01-08-02 00:00,41
31-07-02 23:00,39
31-07-02 22:00,54
31-07-02 21:00,51
31-07-02 20:00,60
31-07-02 19:00,60
31-07-02 18:00,92
31-07-02 17:00,74
31-07-02 16:00,111
31-07-02 15:00,144
31-07-02 14:00,131
31-07-02 13:00,120
31-07-02 12:00,113
31-07-02 11:00,90
31-07-02 10:00,61
31-07-02 09:00,45
31-07-02 08:00,29
31-07-02 07:00,6
31-07-02 06:00,8
31-07-02 05:00,16
31-07-02 04:00,28
31-07-02 03:00,23
31-07-02 02:00,49
31-07-02 01:00,68
31-07-02 00:00,81
30-07-02 23:00,89
30-07-02 22:00,99
30-07-02 21:00,101
30-07-02 20:00,107
30-07-02 19:00,112
30-07-02 18:00,112
30-07-02 17:00,126
30-07-02 16:00,109
30-07-02 15:00,112
30-07-02 14:00,123
30-07-02 13:00,127
30-07-02 12:00,106
30-07-02 11:00,94
30-07-02 10:00,77
30-07-02 09:00,47
30-07-02 08:00,26
30-07-02 07:00,6
30-07-02 06:00,2
30-07-02 05:00,4
30-07-02 04:00,8
30-07-02 03:00,9
30-07-02 02:00,18
30-07-02 01:00,30
30-07-02 00:00,38
29-07-02 23:00,55
29-07-02 22:00,66
29-07-02 21:00,78
29-07-02 20:00,93
29-07-02 19:00,119
29-07-02 18:00,117
29-07-02 17:00,110
29-07-02 16:00,121
29-07-02 15:00,121
29-07-02 14:00,109
29-07-02 13:00,110
29-07-02 12:00,96
29-07-02 11:00,87
29-07-02 10:00,65
29-07-02 09:00,45
29-07-02 08:00,19
29-07-02 07:00,6
29-07-02 06:00,1
29-07-02 05:00,1
29-07-02 04:00,2
29-07-02 03:00,5
29-07-02 02:00,16
29-07-02 01:00,27
29-07-02 00:00,23
28-07-02 23:00,27
28-07-02 22:00,14
28-07-02 21:00,40
28-07-02 20:00,75
28-07-02 19:00,104
28-07-02 18:00,114
28-07-02 17:00,124
28-07-02 16:00,126
28-07-02 15:00,116
28-07-02 14:00,114
28-07-02 13:00,115
28-07-02 12:00,109
28-07-02 11:00,98
28-07-02 10:00,76
28-07-02 09:00,50
28-07-02 08:00,27
28-07-02 07:00,20
28-07-02 06:00,11
28-07-02 05:00,8
28-07-02 04:00,13
28-07-02 03:00,21
28-07-02 02:00,28
28-07-02 01:00,32
28-07-02 00:00,30
27-07-02 23:00,29
27-07-02 22:00,41
27-07-02 21:00,47
27-07-02 20:00,64
27-07-02 19:00,81
27-07-02 18:00,89
27-07-02 17:00,93
27-07-02 16:00,97
27-07-02 15:00,90
27-07-02 14:00,73
27-07-02 13:00,71
27-07-02 12:00,67
27-07-02 11:00,51
27-07-02 10:00,50
27-07-02 09:00,16
27-07-02 08:00,7
27-07-02 07:00,4
27-07-02 06:00,2
27-07-02 05:00,2
27-07-02 04:00,4
27-07-02 03:00,6
27-07-02 02:00,8
27-07-02 01:00,10
27-07-02 00:00,13
26-07-02 23:00,17
26-07-02 22:00,16
26-07-02 21:00,20
26-07-02 20:00,23
26-07-02 19:00,24
26-07-02 18:00,25
26-07-02 17:00,17
26-07-02 16:00,10
26-07-02 15:00,19
26-07-02 14:00,17
26-07-02 13:00,27
26-07-02 12:00,21
26-07-02 11:00,19
26-07-02 10:00,17
26-07-02 09:00,9
26-07-02 08:00,6
26-07-02 07:00,6
26-07-02 06:00,5
26-07-02 05:00,8
26-07-02 04:00,14
26-07-02 03:00,16
26-07-02 02:00,27
26-07-02 01:00,30
26-07-02 00:00,30
25-07-02 23:00,26
25-07-02 22:00,39
25-07-02 21:00,48
25-07-02 20:00,55
25-07-02 19:00,39
25-07-02 18:00,61
25-07-02 17:00,65
25-07-02 16:00,54
25-07-02 15:00,53
25-07-02 14:00,44
25-07-02 13:00,
25-07-02 12:00,
25-07-02 11:00,26
25-07-02 10:00,17
25-07-02 09:00,18
25-07-02 08:00,17
25-07-02 07:00,11
25-07-02 06:00,5
25-07-02 05:00,9
25-07-02 04:00,8
25-07-02 03:00,14
25-07-02 02:00,24
25-07-02 01:00,28
25-07-02 00:00,26
24-07-02 23:00,22
24-07-02 22:00,34
24-07-02 21:00,26
24-07-02 20:00,22
24-07-02 19:00,18
24-07-02 18:00,18
24-07-02 17:00,25
24-07-02 16:00,58
24-07-02 15:00,32
24-07-02 14:00,28
24-07-02 13:00,32
24-07-02 12:00,27
24-07-02 11:00,32
24-07-02 10:00,29
24-07-02 09:00,18
24-07-02 08:00,12
24-07-02 07:00,7
24-07-02 06:00,15
24-07-02 05:00,43
24-07-02 04:00,50
24-07-02 03:00,57
24-07-02 02:00,65
