Datum Zeit,Plauen-Sued O3
,µg/m³
01-08-02 00:00,17
31-07-02 23:00,21
31-07-02 22:00,18
31-07-02 21:00,27
31-07-02 20:00,19
31-07-02 19:00,55
31-07-02 18:00,108
31-07-02 17:00,133
31-07-02 16:00,109
31-07-02 15:00,107
31-07-02 14:00,97
31-07-02 13:00,114
31-07-02 12:00,127
31-07-02 11:00,105
31-07-02 10:00,54
31-07-02 09:00,25
31-07-02 08:00,13
31-07-02 07:00,11
31-07-02 06:00,2
31-07-02 05:00,1
31-07-02 04:00,2
31-07-02 03:00,4
31-07-02 02:00,7
31-07-02 01:00,14
31-07-02 00:00,13
30-07-02 23:00,13
30-07-02 22:00,33
30-07-02 21:00,34
30-07-02 20:00,86
30-07-02 19:00,125
30-07-02 18:00,123
30-07-02 17:00,131
30-07-02 16:00,94
30-07-02 15:00,124
30-07-02 14:00,137
30-07-02 13:00,134
30-07-02 12:00,122
30-07-02 11:00,123
30-07-02 10:00,78
30-07-02 09:00,31
30-07-02 08:00,7
30-07-02 07:00,6
30-07-02 06:00,1
30-07-02 05:00,1
30-07-02 04:00,1
30-07-02 03:00,1
30-07-02 02:00,2
30-07-02 01:00,2
30-07-02 00:00,10
29-07-02 23:00,12
29-07-02 22:00,25
29-07-02 21:00,16
29-07-02 20:00,24
29-07-02 19:00,5
29-07-02 18:00,55
29-07-02 17:00,93
29-07-02 16:00,84
29-07-02 15:00,88
29-07-02 14:00,103
29-07-02 13:00,96
29-07-02 12:00,89
29-07-02 11:00,83
29-07-02 10:00,45
29-07-02 09:00,17
29-07-02 08:00,14
29-07-02 07:00,4
29-07-02 06:00,1
29-07-02 05:00,1
29-07-02 04:00,1
29-07-02 03:00,1
29-07-02 02:00,1
29-07-02 01:00,5
29-07-02 00:00,11
28-07-02 23:00,11
28-07-02 22:00,2
28-07-02 21:00,25
28-07-02 20:00,65
28-07-02 19:00,114
28-07-02 18:00,123
28-07-02 17:00,120
28-07-02 16:00,121
28-07-02 15:00,121
28-07-02 14:00,115
28-07-02 13:00,112
28-07-02 12:00,117
28-07-02 11:00,105
28-07-02 10:00,76
28-07-02 09:00,56
28-07-02 08:00,27
28-07-02 07:00,12
28-07-02 06:00,3
28-07-02 05:00,3
28-07-02 04:00,5
28-07-02 03:00,11
28-07-02 02:00,13
28-07-02 01:00,16
28-07-02 00:00,24
27-07-02 23:00,23
27-07-02 22:00,51
27-07-02 21:00,58
27-07-02 20:00,62
27-07-02 19:00,75
27-07-02 18:00,77
27-07-02 17:00,77
27-07-02 16:00,79
27-07-02 15:00,92
27-07-02 14:00,91
27-07-02 13:00,76
27-07-02 12:00,60
27-07-02 11:00,44
27-07-02 10:00,29
27-07-02 09:00,12
27-07-02 08:00,5
27-07-02 07:00,1
27-07-02 06:00,2
27-07-02 05:00,1
27-07-02 04:00,1
27-07-02 03:00,2
27-07-02 02:00,1
27-07-02 01:00,3
27-07-02 00:00,3
26-07-02 23:00,11
26-07-02 22:00,9
26-07-02 21:00,7
26-07-02 20:00,20
26-07-02 19:00,33
26-07-02 18:00,26
26-07-02 17:00,30
26-07-02 16:00,32
26-07-02 15:00,30
26-07-02 14:00,15
26-07-02 13:00,29
26-07-02 12:00,20
26-07-02 11:00,12
26-07-02 10:00,7
26-07-02 09:00,8
26-07-02 08:00,4
26-07-02 07:00,3
26-07-02 06:00,4
26-07-02 05:00,2
26-07-02 04:00,1
26-07-02 03:00,1
26-07-02 02:00,2
26-07-02 01:00,1
26-07-02 00:00,3
25-07-02 23:00,10
25-07-02 22:00,5
25-07-02 21:00,9
25-07-02 20:00,41
25-07-02 19:00,48
25-07-02 18:00,46
25-07-02 17:00,42
