Datum Zeit,Schwartenberg PM10
,µg/m³
31-12-15,11
30-12-15,19
29-12-15,10
28-12-15,43
27-12-15,21
26-12-15,2
25-12-15,6
24-12-15,8
23-12-15,4
22-12-15,2
21-12-15,6
20-12-15,6
19-12-15,6
18-12-15,12
17-12-15,6
16-12-15,13
15-12-15,17
14-12-15,8
13-12-15,4
12-12-15,4
11-12-15,5
10-12-15,10
09-12-15,6
08-12-15,9
07-12-15,9
06-12-15,6
05-12-15,6
04-12-15,9
03-12-15,12
02-12-15,6
01-12-15,3

