Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-12-15,13.54
30-12-15,16.86
29-12-15,16.02
28-12-15,22.31
27-12-15,11.24
26-12-15,4.84
25-12-15,7.53
24-12-15,9.70
23-12-15,7.11
22-12-15,4.74
21-12-15,8.99
20-12-15,12.14
19-12-15,16.02
18-12-15,13.59
17-12-15,14.59
16-12-15,28.92
15-12-15,33.81
14-12-15,11.84
13-12-15,4.58
12-12-15,8.34
11-12-15,11.85
10-12-15,16.29
09-12-15,11.23
08-12-15,21.03
07-12-15,16.34
06-12-15,7.35
05-12-15,15.39
04-12-15,15.47
03-12-15,18.42
02-12-15,8.26
01-12-15,4.90

