Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-12-15,24.58
30-12-15,16.42
29-12-15,16.29
28-12-15,17.59
27-12-15,11.81
26-12-15,4.74
25-12-15,4.92
24-12-15,8.46
23-12-15,6.35
22-12-15,3.01
21-12-15,6.72
20-12-15,10.01
19-12-15,12.00
18-12-15,8.97
17-12-15,5.06
16-12-15,19.40
15-12-15,22.84
14-12-15,12.84
13-12-15,5.15
12-12-15,5.02
11-12-15,7.52
10-12-15,8.53
09-12-15,9.82
08-12-15,14.16
07-12-15,10.88
06-12-15,7.96
05-12-15,7.97
04-12-15,12.86
03-12-15,9.47
02-12-15,6.77
01-12-15,3.29

