Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-12-15,17.35
30-12-15,19.40
29-12-15,16.53
28-12-15,18.40
27-12-15,12.53
26-12-15,5.86
25-12-15,6.09
24-12-15,10.57
23-12-15,9.00
22-12-15,5.92
21-12-15,9.71
20-12-15,13.01
19-12-15,15.54
18-12-15,13.76
17-12-15,8.48
16-12-15,22.48
15-12-15,26.92
14-12-15,15.77
13-12-15,7.14
12-12-15,8.73
11-12-15,11.73
10-12-15,12.59
09-12-15,13.75
08-12-15,19.33
07-12-15,17.00
06-12-15,11.64
05-12-15,11.68
04-12-15,17.25
03-12-15,16.05
02-12-15,10.35
01-12-15,6.66

