Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-12-15,15.22
30-12-15,17.82
29-12-15,15.20
28-12-15,21.02
27-12-15,10.73
26-12-15,4.14
25-12-15,7.00
24-12-15,9.79
23-12-15,5.93
22-12-15,2.73
21-12-15,7.19
20-12-15,12.26
19-12-15,13.94
18-12-15,11.96
17-12-15,13.80
16-12-15,29.43
15-12-15,31.62
14-12-15,10.79
13-12-15,4.50
12-12-15,5.50
11-12-15,10.12
10-12-15,13.94
09-12-15,9.32
08-12-15,18.74
07-12-15,13.43
06-12-15,6.61
05-12-15,12.90
04-12-15,13.62
03-12-15,13.47
02-12-15,5.43
01-12-15,2.72

