Datum Zeit,Zwickau-Werdauer Straße NO2
,µg/m³
01-01-16 00:00,19
31-12-15 23:00,19
31-12-15 22:00,17
31-12-15 21:00,19
31-12-15 20:00,22
31-12-15 19:00,18
31-12-15 18:00,20
31-12-15 17:00,23
31-12-15 16:00,22
31-12-15 15:00,17
31-12-15 14:00,15
31-12-15 13:00,16
31-12-15 12:00,17
31-12-15 11:00,56
31-12-15 10:00,56
31-12-15 09:00,58
31-12-15 08:00,48
31-12-15 07:00,46
31-12-15 06:00,42
31-12-15 05:00,37
31-12-15 04:00,31
31-12-15 03:00,33
31-12-15 02:00,39
31-12-15 01:00,39
31-12-15 00:00,43
30-12-15 23:00,46
30-12-15 22:00,51
30-12-15 21:00,58
30-12-15 20:00,57
30-12-15 19:00,49
30-12-15 18:00,56
30-12-15 17:00,50
30-12-15 16:00,34
30-12-15 15:00,24
30-12-15 14:00,30
30-12-15 13:00,25
30-12-15 12:00,30
30-12-15 11:00,39
30-12-15 10:00,40
30-12-15 09:00,42
30-12-15 08:00,34
30-12-15 07:00,28
30-12-15 06:00,21
30-12-15 05:00,18
30-12-15 04:00,20
30-12-15 03:00,19
30-12-15 02:00,21
30-12-15 01:00,20
30-12-15 00:00,24
29-12-15 23:00,33
29-12-15 22:00,38
29-12-15 21:00,43
29-12-15 20:00,36
29-12-15 19:00,31
29-12-15 18:00,27
29-12-15 17:00,39
29-12-15 16:00,50
29-12-15 15:00,42
29-12-15 14:00,39
29-12-15 13:00,40
29-12-15 12:00,33
29-12-15 11:00,28
29-12-15 10:00,27
29-12-15 09:00,27
29-12-15 08:00,23
29-12-15 07:00,24
29-12-15 06:00,26
29-12-15 05:00,18
29-12-15 04:00,23
29-12-15 03:00,19
29-12-15 02:00,21
29-12-15 01:00,24
29-12-15 00:00,26
28-12-15 23:00,30
28-12-15 22:00,34
28-12-15 21:00,45
28-12-15 20:00,52
28-12-15 19:00,65
28-12-15 18:00,70
28-12-15 17:00,63
28-12-15 16:00,59
28-12-15 15:00,38
28-12-15 14:00,31
28-12-15 13:00,35
28-12-15 12:00,49
28-12-15 11:00,50
28-12-15 10:00,55
28-12-15 09:00,41
28-12-15 08:00,39
28-12-15 07:00,37
28-12-15 06:00,32
28-12-15 05:00,26
28-12-15 04:00,16
28-12-15 03:00,17
28-12-15 02:00,14
28-12-15 01:00,24
28-12-15 00:00,18
27-12-15 23:00,15
27-12-15 22:00,14
27-12-15 21:00,14
27-12-15 20:00,15
27-12-15 19:00,20
27-12-15 18:00,22
27-12-15 17:00,18
27-12-15 16:00,19
27-12-15 15:00,16
27-12-15 14:00,14
27-12-15 13:00,12
27-12-15 12:00,13
27-12-15 11:00,13
27-12-15 10:00,11
27-12-15 09:00,8
27-12-15 08:00,10
27-12-15 07:00,9
27-12-15 06:00,11
27-12-15 05:00,8
27-12-15 04:00,18
27-12-15 03:00,8
27-12-15 02:00,10
27-12-15 01:00,10
27-12-15 00:00,12
26-12-15 23:00,16
26-12-15 22:00,18
26-12-15 21:00,25
26-12-15 20:00,15
26-12-15 19:00,32
26-12-15 18:00,29
26-12-15 17:00,15
26-12-15 16:00,14
26-12-15 15:00,10
26-12-15 14:00,6
26-12-15 13:00,8
26-12-15 12:00,10
26-12-15 11:00,8
26-12-15 10:00,6
26-12-15 09:00,6
26-12-15 08:00,8
26-12-15 07:00,8
26-12-15 06:00,6
26-12-15 05:00,5
26-12-15 04:00,6
26-12-15 03:00,5
26-12-15 02:00,5
26-12-15 01:00,5
26-12-15 00:00,8
25-12-15 23:00,10
25-12-15 22:00,10
25-12-15 21:00,9
25-12-15 20:00,10
25-12-15 19:00,12
25-12-15 18:00,15
25-12-15 17:00,16
25-12-15 16:00,18
25-12-15 15:00,12
25-12-15 14:00,30
25-12-15 13:00,24
25-12-15 12:00,21
25-12-15 11:00,23
25-12-15 10:00,21
25-12-15 09:00,9
25-12-15 08:00,11
25-12-15 07:00,11
25-12-15 06:00,11
25-12-15 05:00,8
25-12-15 04:00,9
25-12-15 03:00,10
25-12-15 02:00,12
25-12-15 01:00,11
25-12-15 00:00,11
24-12-15 23:00,13
24-12-15 22:00,13
24-12-15 21:00,12
24-12-15 20:00,12
24-12-15 19:00,16
24-12-15 18:00,15
24-12-15 17:00,15
24-12-15 16:00,22
24-12-15 15:00,14
24-12-15 14:00,15
24-12-15 13:00,10
24-12-15 12:00,20
24-12-15 11:00,33
24-12-15 10:00,41
24-12-15 09:00,36
24-12-15 08:00,37
24-12-15 07:00,33
24-12-15 06:00,24
24-12-15 05:00,24
24-12-15 04:00,22
24-12-15 03:00,22
24-12-15 02:00,28
24-12-15 01:00,32
24-12-15 00:00,25
23-12-15 23:00,41
23-12-15 22:00,32
23-12-15 21:00,52
23-12-15 20:00,49
23-12-15 19:00,35
23-12-15 18:00,44
23-12-15 17:00,37
23-12-15 16:00,25
23-12-15 15:00,24
23-12-15 14:00,21
23-12-15 13:00,19
23-12-15 12:00,18
23-12-15 11:00,17
23-12-15 10:00,14
23-12-15 09:00,15
23-12-15 08:00,20
23-12-15 07:00,16
23-12-15 06:00,15
23-12-15 05:00,10
23-12-15 04:00,9
23-12-15 03:00,9
23-12-15 02:00,10
23-12-15 01:00,11
23-12-15 00:00,12
22-12-15 23:00,13
22-12-15 22:00,14
22-12-15 21:00,17
22-12-15 20:00,18
22-12-15 19:00,21
22-12-15 18:00,25
22-12-15 17:00,25
22-12-15 16:00,23
22-12-15 15:00,17
22-12-15 14:00,14
22-12-15 13:00,14
22-12-15 12:00,15
22-12-15 11:00,17
22-12-15 10:00,16
22-12-15 09:00,14
22-12-15 08:00,13
22-12-15 07:00,12
22-12-15 06:00,7
22-12-15 05:00,7
22-12-15 04:00,9
22-12-15 03:00,9
22-12-15 02:00,6
22-12-15 01:00,5
22-12-15 00:00,6
21-12-15 23:00,8
21-12-15 22:00,8
21-12-15 21:00,10
21-12-15 20:00,13
21-12-15 19:00,18
21-12-15 18:00,24
21-12-15 17:00,25
21-12-15 16:00,25
21-12-15 15:00,28
21-12-15 14:00,30
21-12-15 13:00,31
21-12-15 12:00,35
21-12-15 11:00,32
21-12-15 10:00,33
21-12-15 09:00,32
21-12-15 08:00,36
21-12-15 07:00,34
21-12-15 06:00,24
21-12-15 05:00,19
21-12-15 04:00,17
21-12-15 03:00,15
21-12-15 02:00,14
21-12-15 01:00,14
21-12-15 00:00,14
20-12-15 23:00,21
20-12-15 22:00,21
20-12-15 21:00,23
20-12-15 20:00,61
20-12-15 19:00,42
20-12-15 18:00,37
20-12-15 17:00,24
20-12-15 16:00,24
20-12-15 15:00,15
20-12-15 14:00,14
20-12-15 13:00,14
20-12-15 12:00,11
20-12-15 11:00,28
20-12-15 10:00,40
20-12-15 09:00,27
20-12-15 08:00,28
20-12-15 07:00,26
20-12-15 06:00,23
20-12-15 05:00,25
20-12-15 04:00,26
20-12-15 03:00,27
20-12-15 02:00,28
20-12-15 01:00,47
20-12-15 00:00,35
19-12-15 23:00,15
19-12-15 22:00,20
19-12-15 21:00,56
19-12-15 20:00,50
19-12-15 19:00,48
19-12-15 18:00,43
19-12-15 17:00,27
19-12-15 16:00,23
19-12-15 15:00,20
19-12-15 14:00,16
19-12-15 13:00,17
19-12-15 12:00,18
19-12-15 11:00,26
19-12-15 10:00,52
19-12-15 09:00,41
19-12-15 08:00,39
19-12-15 07:00,35
19-12-15 06:00,29
19-12-15 05:00,30
19-12-15 04:00,22
19-12-15 03:00,24
19-12-15 02:00,30
19-12-15 01:00,37
19-12-15 00:00,40
18-12-15 23:00,39
18-12-15 22:00,35
18-12-15 21:00,27
18-12-15 20:00,29
18-12-15 19:00,36
18-12-15 18:00,37
18-12-15 17:00,37
18-12-15 16:00,38
18-12-15 15:00,33
18-12-15 14:00,33
18-12-15 13:00,34
18-12-15 12:00,36
18-12-15 11:00,38
18-12-15 10:00,39
18-12-15 09:00,24
18-12-15 08:00,42
18-12-15 07:00,58
18-12-15 06:00,56
18-12-15 05:00,21
18-12-15 04:00,11
18-12-15 03:00,10
18-12-15 02:00,13
18-12-15 01:00,11
18-12-15 00:00,18
17-12-15 23:00,26
17-12-15 22:00,19
17-12-15 21:00,21
17-12-15 20:00,21
17-12-15 19:00,26
17-12-15 18:00,30
17-12-15 17:00,33
17-12-15 16:00,35
17-12-15 15:00,28
17-12-15 14:00,25
17-12-15 13:00,25
17-12-15 12:00,32
17-12-15 11:00,33
17-12-15 10:00,33
17-12-15 09:00,37
17-12-15 08:00,37
17-12-15 07:00,29
17-12-15 06:00,25
17-12-15 05:00,25
17-12-15 04:00,27
17-12-15 03:00,29
17-12-15 02:00,29
17-12-15 01:00,27
17-12-15 00:00,33
16-12-15 23:00,34
16-12-15 22:00,34
16-12-15 21:00,36
16-12-15 20:00,31
16-12-15 19:00,34
16-12-15 18:00,44
16-12-15 17:00,55
16-12-15 16:00,48
16-12-15 15:00,34
16-12-15 14:00,31
16-12-15 13:00,26
16-12-15 12:00,29
16-12-15 11:00,45
16-12-15 10:00,40
16-12-15 09:00,45
16-12-15 08:00,43
16-12-15 07:00,32
16-12-15 06:00,38
16-12-15 05:00,31
16-12-15 04:00,27
16-12-15 03:00,26
16-12-15 02:00,33
16-12-15 01:00,34
16-12-15 00:00,37
15-12-15 23:00,44
15-12-15 22:00,48
15-12-15 21:00,52
15-12-15 20:00,53
15-12-15 19:00,55
15-12-15 18:00,53
15-12-15 17:00,58
15-12-15 16:00,46
15-12-15 15:00,43
15-12-15 14:00,38
15-12-15 13:00,34
15-12-15 12:00,36
15-12-15 11:00,35
15-12-15 10:00,40
15-12-15 09:00,66
15-12-15 08:00,81
15-12-15 07:00,58
15-12-15 06:00,42
15-12-15 05:00,26
15-12-15 04:00,17
15-12-15 03:00,14
15-12-15 02:00,16
15-12-15 01:00,17
15-12-15 00:00,18
14-12-15 23:00,27
14-12-15 22:00,42
14-12-15 21:00,37
14-12-15 20:00,34
14-12-15 19:00,35
14-12-15 18:00,43
14-12-15 17:00,43
14-12-15 16:00,42
14-12-15 15:00,39
14-12-15 14:00,41
14-12-15 13:00,41
14-12-15 12:00,43
14-12-15 11:00,42
14-12-15 10:00,43
14-12-15 09:00,46
14-12-15 08:00,44
14-12-15 07:00,34
14-12-15 06:00,32
14-12-15 05:00,27
14-12-15 04:00,24
14-12-15 03:00,27
14-12-15 02:00,26
14-12-15 01:00,26
14-12-15 00:00,38
13-12-15 23:00,44
13-12-15 22:00,51
13-12-15 21:00,55
13-12-15 20:00,62
13-12-15 19:00,45
13-12-15 18:00,35
13-12-15 17:00,41
13-12-15 16:00,32
13-12-15 15:00,22
13-12-15 14:00,18
13-12-15 13:00,7
13-12-15 12:00,10
13-12-15 11:00,8
13-12-15 10:00,5
13-12-15 09:00,5
13-12-15 08:00,7
13-12-15 07:00,5
13-12-15 06:00,6
13-12-15 05:00,4
13-12-15 04:00,5
13-12-15 03:00,6
13-12-15 02:00,5
13-12-15 01:00,6
13-12-15 00:00,7
12-12-15 23:00,10
12-12-15 22:00,12
12-12-15 21:00,29
12-12-15 20:00,34
12-12-15 19:00,46
12-12-15 18:00,56
12-12-15 17:00,52
12-12-15 16:00,37
12-12-15 15:00,24
12-12-15 14:00,17
12-12-15 13:00,19
12-12-15 12:00,20
12-12-15 11:00,36
12-12-15 10:00,41
12-12-15 09:00,53
12-12-15 08:00,35
12-12-15 07:00,44
12-12-15 06:00,28
12-12-15 05:00,14
12-12-15 04:00,13
12-12-15 03:00,9
12-12-15 02:00,11
12-12-15 01:00,15
12-12-15 00:00,18
11-12-15 23:00,18
11-12-15 22:00,20
11-12-15 21:00,22
11-12-15 20:00,23
11-12-15 19:00,28
11-12-15 18:00,26
11-12-15 17:00,29
11-12-15 16:00,32
11-12-15 15:00,33
11-12-15 14:00,29
11-12-15 13:00,28
11-12-15 12:00,31
11-12-15 11:00,32
11-12-15 10:00,27
11-12-15 09:00,27
11-12-15 08:00,26
11-12-15 07:00,22
11-12-15 06:00,17
11-12-15 05:00,12
11-12-15 04:00,14
11-12-15 03:00,22
11-12-15 02:00,21
11-12-15 01:00,47
11-12-15 00:00,51
10-12-15 23:00,52
10-12-15 22:00,50
10-12-15 21:00,41
10-12-15 20:00,45
10-12-15 19:00,37
10-12-15 18:00,49
10-12-15 17:00,48
10-12-15 16:00,29
10-12-15 15:00,27
10-12-15 14:00,24
10-12-15 13:00,17
10-12-15 12:00,17
10-12-15 11:00,23
10-12-15 10:00,25
10-12-15 09:00,45
10-12-15 08:00,60
10-12-15 07:00,50
10-12-15 06:00,37
10-12-15 05:00,31
10-12-15 04:00,30
10-12-15 03:00,30
10-12-15 02:00,32
10-12-15 01:00,34
10-12-15 00:00,37
09-12-15 23:00,39
09-12-15 22:00,30
09-12-15 21:00,32
09-12-15 20:00,35
09-12-15 19:00,47
09-12-15 18:00,51
09-12-15 17:00,48
09-12-15 16:00,50
09-12-15 15:00,52
09-12-15 14:00,41
09-12-15 13:00,49
09-12-15 12:00,45
09-12-15 11:00,44
09-12-15 10:00,40
09-12-15 09:00,39
09-12-15 08:00,41
09-12-15 07:00,41
09-12-15 06:00,39
09-12-15 05:00,28
09-12-15 04:00,21
09-12-15 03:00,18
09-12-15 02:00,21
09-12-15 01:00,24
09-12-15 00:00,39
08-12-15 23:00,42
08-12-15 22:00,43
08-12-15 21:00,43
08-12-15 20:00,47
08-12-15 19:00,66
08-12-15 18:00,78
08-12-15 17:00,101
08-12-15 16:00,106
08-12-15 15:00,63
08-12-15 14:00,58
08-12-15 13:00,59
08-12-15 12:00,59
08-12-15 11:00,59
08-12-15 10:00,48
08-12-15 09:00,48
08-12-15 08:00,44
08-12-15 07:00,38
08-12-15 06:00,33
08-12-15 05:00,23
08-12-15 04:00,21
08-12-15 03:00,22
08-12-15 02:00,26
08-12-15 01:00,29
08-12-15 00:00,35
07-12-15 23:00,41
07-12-15 22:00,46
07-12-15 21:00,52
07-12-15 20:00,61
07-12-15 19:00,59
07-12-15 18:00,68
07-12-15 17:00,66
07-12-15 16:00,52
07-12-15 15:00,36
07-12-15 14:00,32
07-12-15 13:00,33
07-12-15 12:00,32
07-12-15 11:00,43
07-12-15 10:00,53
07-12-15 09:00,52
07-12-15 08:00,45
07-12-15 07:00,34
07-12-15 06:00,24
07-12-15 05:00,11
07-12-15 04:00,11
07-12-15 03:00,8
07-12-15 02:00,11
07-12-15 01:00,11
07-12-15 00:00,15
06-12-15 23:00,18
06-12-15 22:00,15
06-12-15 21:00,16
06-12-15 20:00,20
06-12-15 19:00,18
06-12-15 18:00,18
06-12-15 17:00,16
06-12-15 16:00,14
06-12-15 15:00,12
06-12-15 14:00,10
06-12-15 13:00,9
06-12-15 12:00,9
06-12-15 11:00,10
06-12-15 10:00,10
06-12-15 09:00,9
06-12-15 08:00,9
06-12-15 07:00,9
06-12-15 06:00,10
06-12-15 05:00,10
06-12-15 04:00,10
06-12-15 03:00,8
06-12-15 02:00,8
06-12-15 01:00,12
06-12-15 00:00,13
05-12-15 23:00,12
05-12-15 22:00,10
05-12-15 21:00,11
05-12-15 20:00,12
05-12-15 19:00,14
05-12-15 18:00,15
05-12-15 17:00,12
05-12-15 16:00,14
05-12-15 15:00,12
05-12-15 14:00,12
05-12-15 13:00,11
05-12-15 12:00,11
05-12-15 11:00,11
05-12-15 10:00,10
05-12-15 09:00,13
05-12-15 08:00,19
05-12-15 07:00,13
05-12-15 06:00,14
05-12-15 05:00,18
05-12-15 04:00,14
05-12-15 03:00,16
05-12-15 02:00,25
05-12-15 01:00,30
05-12-15 00:00,35
04-12-15 23:00,43
04-12-15 22:00,41
04-12-15 21:00,47
04-12-15 20:00,43
04-12-15 19:00,42
04-12-15 18:00,36
04-12-15 17:00,36
04-12-15 16:00,37
04-12-15 15:00,36
04-12-15 14:00,37
04-12-15 13:00,31
04-12-15 12:00,29
04-12-15 11:00,29
04-12-15 10:00,25
04-12-15 09:00,31
04-12-15 08:00,27
04-12-15 07:00,26
04-12-15 06:00,28
04-12-15 05:00,14
04-12-15 04:00,14
04-12-15 03:00,22
04-12-15 02:00,30
04-12-15 01:00,27
04-12-15 00:00,28
03-12-15 23:00,43
03-12-15 22:00,34
03-12-15 21:00,29
03-12-15 20:00,21
03-12-15 19:00,30
03-12-15 18:00,31
03-12-15 17:00,49
03-12-15 16:00,57
03-12-15 15:00,36
03-12-15 14:00,25
03-12-15 13:00,22
03-12-15 12:00,30
03-12-15 11:00,49
03-12-15 10:00,48
03-12-15 09:00,52
03-12-15 08:00,51
03-12-15 07:00,44
03-12-15 06:00,41
03-12-15 05:00,31
03-12-15 04:00,27
03-12-15 03:00,23
03-12-15 02:00,16
03-12-15 01:00,17
03-12-15 00:00,38
02-12-15 23:00,31
02-12-15 22:00,41
02-12-15 21:00,51
02-12-15 20:00,55
02-12-15 19:00,51
02-12-15 18:00,56
02-12-15 17:00,60
02-12-15 16:00,62
02-12-15 15:00,43
02-12-15 14:00,43
02-12-15 13:00,47
02-12-15 12:00,35
02-12-15 11:00,34
02-12-15 10:00,40
02-12-15 09:00,55
02-12-15 08:00,56
02-12-15 07:00,29
02-12-15 06:00,37
02-12-15 05:00,17
