Datum Zeit,Collmberg PM2.5
,µg/m³
31-12-15,7.42
30-12-15,17.74
29-12-15,11.64
28-12-15,14.73
27-12-15,9.51
26-12-15,4.87
25-12-15,4.66
24-12-15,5.61
23-12-15,5.96
22-12-15,2.61
21-12-15,5.96
20-12-15,7.50
19-12-15,8.83
18-12-15,7.31
17-12-15,4.30
16-12-15,18.40
15-12-15,19.56
14-12-15,7.17
13-12-15,2.82
12-12-15,4.36
11-12-15,7.51
10-12-15,6.96
09-12-15,8.76
08-12-15,10.28
07-12-15,8.53
06-12-15,7.12
05-12-15,6.63
04-12-15,10.42
03-12-15,9.72
02-12-15,4.93
01-12-15,1.90

