Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-15,6.84
30-05-15,6.38
29-05-15,10.47
28-05-15,10.10
27-05-15,8.31
26-05-15,7.44
25-05-15,13.92
24-05-15,7.82
23-05-15,17.44
22-05-15,11.12
21-05-15,12.82
20-05-15,8.93
19-05-15,8.18
18-05-15,11.43
17-05-15,8.50
16-05-15,16.84
15-05-15,10.47
14-05-15,7.16
13-05-15,11.64
12-05-15,14.48
11-05-15,9.43
10-05-15,7.80
09-05-15,9.58
08-05-15,9.12
07-05-15,8.12
06-05-15,8.95
05-05-15,9.56
04-05-15,7.06
03-05-15,11.82
02-05-15,15.60
01-05-15,13.00

