Datum Zeit,Bautzen PM10
,µg/m³
31-05-15,10
30-05-15,8
29-05-15,14
28-05-15,12
27-05-15,10
26-05-15,10
25-05-15,15
24-05-15,12
23-05-15,15
22-05-15,14
21-05-15,15
20-05-15,14
19-05-15,13
18-05-15,14
17-05-15,12
16-05-15,14
15-05-15,10
14-05-15,11
13-05-15,13
12-05-15,11
11-05-15,10
10-05-15,10
09-05-15,12
08-05-15,13
07-05-15,10
06-05-15,13
05-05-15,15
04-05-15,10
03-05-15,15
02-05-15,16
01-05-15,20

