Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-15,4.99
30-05-15,4.32
29-05-15,6.48
28-05-15,6.53
27-05-15,3.93
26-05-15,4.67
25-05-15,10.59
24-05-15,5.13
23-05-15,9.56
22-05-15,6.35
21-05-15,7.21
20-05-15,5.00
19-05-15,5.37
18-05-15,7.25
17-05-15,5.96
16-05-15,8.87
15-05-15,5.36
14-05-15,4.96
13-05-15,5.77
12-05-15,8.74
11-05-15,6.75
10-05-15,5.74
09-05-15,7.33
08-05-15,6.58
07-05-15,5.36
06-05-15,6.55
05-05-15,
04-05-15,3.98
03-05-15,8.52
02-05-15,7.82
01-05-15,8.45

