Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-15,6.70
30-05-15,6.52
29-05-15,11.00
28-05-15,11.56
27-05-15,7.28
26-05-15,7.73
25-05-15,13.27
24-05-15,9.15
23-05-15,11.45
22-05-15,9.99
21-05-15,12.57
20-05-15,8.31
19-05-15,8.65
18-05-15,11.35
17-05-15,7.47
16-05-15,11.12
15-05-15,8.20
14-05-15,9.12
13-05-15,7.68
12-05-15,13.28
11-05-15,8.87
10-05-15,6.06
09-05-15,9.30
08-05-15,8.92
07-05-15,7.29
06-05-15,7.70
05-05-15,8.51
04-05-15,5.89
03-05-15,9.60
02-05-15,15.33
01-05-15,14.62

