Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-15,5.59
30-05-15,4.78
29-05-15,7.09
28-05-15,6.91
27-05-15,5.32
26-05-15,5.50
25-05-15,10.23
24-05-15,8.53
23-05-15,10.19
22-05-15,7.10
21-05-15,7.66
20-05-15,5.61
19-05-15,6.04
18-05-15,8.80
17-05-15,6.56
16-05-15,8.47
15-05-15,7.58
14-05-15,7.80
13-05-15,6.02
12-05-15,8.25
11-05-15,6.53
10-05-15,8.08
09-05-15,9.58
08-05-15,9.47
07-05-15,5.42
06-05-15,5.57
05-05-15,10.93
04-05-15,6.17
03-05-15,10.86
02-05-15,12.14
01-05-15,11.62

