Datum Zeit,Zinnwald SO2
,µg/m³
01-02-05 00:00,1.0
31-01-05 23:00,1.1
31-01-05 22:00,1.0
31-01-05 21:00,1.3
31-01-05 20:00,1.4
31-01-05 19:00,1.6
31-01-05 18:00,1.1
31-01-05 17:00,1.5
31-01-05 16:00,1.3
31-01-05 15:00,1.4
31-01-05 14:00,1.0
31-01-05 13:00,1.0
31-01-05 12:00,1.0
31-01-05 11:00,1.0
31-01-05 10:00,1.0
31-01-05 09:00,1.0
31-01-05 08:00,1.0
31-01-05 07:00,1.0
31-01-05 06:00,1.0
31-01-05 05:00,1.0
31-01-05 04:00,1.3
31-01-05 03:00,1.4
31-01-05 02:00,1.9
31-01-05 01:00,1.6
31-01-05 00:00,1.6
30-01-05 23:00,1.5
30-01-05 22:00,1.2
30-01-05 21:00,1.0
30-01-05 20:00,1.1
30-01-05 19:00,1.6
30-01-05 18:00,1.7
30-01-05 17:00,1.4
30-01-05 16:00,1.0
30-01-05 15:00,1.0
30-01-05 14:00,1.0
30-01-05 13:00,1.3
30-01-05 12:00,1.0
30-01-05 11:00,2.6
30-01-05 10:00,3.0
30-01-05 09:00,2.1
30-01-05 08:00,1.3
30-01-05 07:00,1.6
30-01-05 06:00,2.4
30-01-05 05:00,2.6
30-01-05 04:00,2.3
30-01-05 03:00,2.7
30-01-05 02:00,2.5
30-01-05 01:00,1.8
30-01-05 00:00,1.0
29-01-05 23:00,1.0
29-01-05 22:00,1.9
29-01-05 21:00,2.4
29-01-05 20:00,1.7
29-01-05 19:00,1.6
29-01-05 18:00,1.4
29-01-05 17:00,2.0
29-01-05 16:00,3.0
29-01-05 15:00,3.5
29-01-05 14:00,4.5
29-01-05 13:00,5.0
29-01-05 12:00,5.8
29-01-05 11:00,6.3
29-01-05 10:00,5.5
29-01-05 09:00,5.4
29-01-05 08:00,7.2
29-01-05 07:00,9.2
29-01-05 06:00,8.7
29-01-05 05:00,7.8
29-01-05 04:00,6.7
29-01-05 03:00,6.9
29-01-05 02:00,4.8
29-01-05 01:00,3.6
29-01-05 00:00,5.5
28-01-05 23:00,17.7
28-01-05 22:00,7.2
28-01-05 21:00,18.2
28-01-05 20:00,30.2
28-01-05 19:00,41.6
28-01-05 18:00,60.7
28-01-05 17:00,70.1
28-01-05 16:00,52.3
28-01-05 15:00,22.6
28-01-05 14:00,1.0
28-01-05 13:00,1.1
28-01-05 12:00,1.0
28-01-05 11:00,1.5
28-01-05 10:00,1.0
28-01-05 09:00,1.0
28-01-05 08:00,1.0
28-01-05 07:00,1.0
28-01-05 06:00,1.0
28-01-05 05:00,1.0
28-01-05 04:00,1.0
28-01-05 03:00,1.0
28-01-05 02:00,1.0
28-01-05 01:00,4.5
28-01-05 00:00,5.8
