Datum Zeit,Borna BEN
,µg/m³
01-02-05 00:00,0.9
31-01-05 23:00,0.7
31-01-05 22:00,1.4
31-01-05 21:00,1.3
31-01-05 20:00,1.1
31-01-05 19:00,2.8
31-01-05 18:00,2.5
31-01-05 17:00,3.1
31-01-05 16:00,2.7
31-01-05 15:00,2.3
31-01-05 14:00,2.6
31-01-05 13:00,2.1
31-01-05 12:00,2.7
31-01-05 11:00,2.9
31-01-05 10:00,2.5
31-01-05 09:00,2.5
31-01-05 08:00,2.5
31-01-05 07:00,2.0
31-01-05 06:00,1.3
31-01-05 05:00,1.2
31-01-05 04:00,1.1
31-01-05 03:00,1.2
31-01-05 02:00,1.4
31-01-05 01:00,1.2
31-01-05 00:00,1.6
30-01-05 23:00,1.8
30-01-05 22:00,1.8
30-01-05 21:00,2.6
30-01-05 20:00,2.6
30-01-05 19:00,2.4
30-01-05 18:00,2.4
30-01-05 17:00,2.7
30-01-05 16:00,2.7
30-01-05 15:00,1.9
30-01-05 14:00,2.0
30-01-05 13:00,2.0
30-01-05 12:00,2.2
30-01-05 11:00,1.8
30-01-05 10:00,1.7
30-01-05 09:00,1.5
30-01-05 08:00,1.3
30-01-05 07:00,1.3
30-01-05 06:00,1.4
30-01-05 05:00,1.5
30-01-05 04:00,1.6
30-01-05 03:00,1.9
30-01-05 02:00,2.1
30-01-05 01:00,3.1
30-01-05 00:00,3.9
29-01-05 23:00,3.6
29-01-05 22:00,4.1
29-01-05 21:00,5.1
29-01-05 20:00,3.4
29-01-05 19:00,2.6
29-01-05 18:00,2.9
29-01-05 17:00,3.6
29-01-05 16:00,3.3
29-01-05 15:00,3.5
29-01-05 14:00,2.5
29-01-05 13:00,5.0
29-01-05 12:00,4.8
29-01-05 11:00,5.7
29-01-05 10:00,5.2
29-01-05 09:00,5.7
29-01-05 08:00,4.5
29-01-05 07:00,4.6
29-01-05 06:00,4.5
29-01-05 05:00,4.3
29-01-05 04:00,4.0
29-01-05 03:00,3.7
29-01-05 02:00,3.6
29-01-05 01:00,4.0
29-01-05 00:00,3.7
28-01-05 23:00,4.5
28-01-05 22:00,7.4
28-01-05 21:00,6.1
28-01-05 20:00,4.8
28-01-05 19:00,5.1
28-01-05 18:00,4.8
28-01-05 17:00,
28-01-05 16:00,
28-01-05 15:00,
28-01-05 14:00,
28-01-05 13:00,
28-01-05 12:00,
28-01-05 11:00,
28-01-05 10:00,
28-01-05 09:00,
28-01-05 08:00,
28-01-05 07:00,
28-01-05 06:00,
28-01-05 05:00,
28-01-05 04:00,
28-01-05 03:00,
28-01-05 02:00,
28-01-05 01:00,
28-01-05 00:00,
27-01-05 23:00,
27-01-05 22:00,
27-01-05 21:00,
27-01-05 20:00,
27-01-05 19:00,
27-01-05 18:00,
27-01-05 17:00,
27-01-05 16:00,
27-01-05 15:00,
27-01-05 14:00,
27-01-05 13:00,
27-01-05 12:00,
27-01-05 11:00,
27-01-05 10:00,
27-01-05 09:00,
27-01-05 08:00,
27-01-05 07:00,
27-01-05 06:00,
27-01-05 05:00,
27-01-05 04:00,
